str_yes|是 。 
str_rebellion_prior_argument_very_unfavorable|我 已 听 闻 一 些 支 持 你 的 王 位 候 选 人 的 理 由 ， 但 觉 得 这 些 理 由 难 以 令 人 信 服 。 
str_rebellion_rival_martial|我 已 听 闻 一 些 支 持 你 的 王 位 候 选 人 的 理 由 ， 但 大 多 不 能 苟 同 。 
str_rebellion_rival_quarrelsome|{s49}， 你 的 盟 友 {s44}曾 质 疑 我 的 荣 誉 与 勇 气 。 难 得 有 机 会 在 战 场 上 与 他 对 峙 ， 让 他 收 回 那 番 话 。 
str_rebellion_rival_pitiless|{s49}， 你 在 与 {s44}合 作 。 那 家 伙 狡 如 黄 鼠 ， 我 一 点 也 不 信 他 。 
str_rebellion_rival_cunning|{s49}， 你 似 乎 拉 到 了 {s44}的 支 持 — — 那 人 软 弱 无 能 ， 不 配 治 理 封 地 ， 我 一 向 厌 恶 他 。 
str_rebellion_rival_sadistic|{s49}， 已 投 你 旗 下 的 {s44}固 执 好 斗 ， 简 直 是 个 累 赘 。 
str_rebellion_rival_goodnatured|{s49}， 我 不 想 和 你 的 盟 友 {s44}并 肩 作 战 ， 他 那 副 假 仁 假 义 的 模 样 令 人 作 呕 。 
str_rebellion_rival_upstanding|{s49}， 我 不 愿 与 {s44}同 阵 ， 他 背 有 残 暴 之 名 。 
str_rebellion_argument_favorable|{s49}， 你 的 盟 友 {s44}在 我 看 来 危 险 、 靠 不 住 ， 且 毫 无 原 则 。 
str_rebellion_argument_neutral|我 尊 重 你 的 论 点 。 
str_rebellion_argument_unfavorable|我 觉 得 你 的 论 点 说 服 力 一 般 。 
str_rebellion_persuasion_favorable|我 认 为 你 的 论 点 缺 乏 说 服 力 。 
str_rebellion_persuasion_neutral|你 说 得 有 理 
str_rebellion_persuasion_unfavorable|你 的 理 由 难 以 服 人 
str_rebellion_relation_very_favorable|我 对 你 本 人 怀 有 最 高 的 敬 意 。 
str_rebellion_relation_favorable|我 与 你 相 识 ， 也 敬 重 你 。 
str_rebellion_relation_neutral|我 对 你 还 不 够 了 解 。 
str_rebellion_relation_unfavorable|我 不 信 任 你 。 
str_and_comma_3|此 外 ， 
str_but_comma_3|然 而 ， 
str_and_comma_1|， 并 且 
str_but_comma_1|， 但 
str_and_comma_2|。 而 且 ， 
str_but_comma_2|。 尽 管 如 此 ， 
str_rebellion_agree_martial|我 已 决 定 。 我 将 支 持 {s45}作 为 合 法 继 承 人 。 
str_rebellion_agree_quarrelsome|啊 ， 我 想 得 够 久 了 。 反 正 我 从 来 就 不 喜 欢 {s46}。 咱 们 去 把 他 的 王 位 夺 过 来 吧 。 
str_rebellion_agree_pitiless|你 很 走 运 。 我 决 定 加 入 你 。 但 愿 别 让 我 为 这 决 定 后 悔 。 
str_rebellion_agree_cunning|这 是 个 极 其 危 险 的 抉 择 ， 但 再 三 权 衡 后 ， 我 决 定 与 你 并 肩 。 愿 此 举 终 得 善 果 。 
str_rebellion_agree_sadistic|我 已 决 定 。 我 将 支 持 你 的 {reg3?女 :男 }{s45}， 但 你 最 好 确 保 {reg3?她 :他 }厚 赏 于 我 ！ 
str_rebellion_agree_goodnatured|好 吧 。 我 相 信 你 的 {reg3?女 :男 }会 成 为 一 位 贤 君 。 我 愿 加 入 。 
str_rebellion_agree_upstanding|就 这 样 。 我 的 首 要 职 责 在 于 王 国 ； 为 免 其 陷 入 无 法 无 天 ， 我 将 支 持 {s45}， 并 断 绝 与 {s46}的 臣 属 关 系 。 若 此 举 有 错 ， 愿 上 天 宽 恕 。 
str_rebellion_refuse_martial|抱 歉 。 {s45}的 宣 称 虽 正 ， 却 仍 不 足 以 让 我 背 弃 {s46}。 我 将 忠 于 我 的 君 主 。 
str_rebellion_refuse_quarrelsome|不 。 你 那 条 小 狼 崽 {s45}没 本 事 统 治 这 片 疆 土 。 我 还 是 跟 着 {s46}。 
str_rebellion_refuse_pitiless|不 。 我 不 会 加 入 你 的 叛 乱 。 我 看 这 不 过 是 个 被 夺 走 玩 具 的 小 孩 在 撒 泼 打 滚 。 我 会 继 续 追 随 {s46}， 他 的 统 治 久 经 考 验 。 
str_rebellion_refuse_cunning|抱 歉 ， 你 没 能 让 我 相 信 你 能 赢 。 许 多 人 会 死 ， 我 不 想 成 为 其 中 之 一 。 我 仍 支 持 {s46}。 
str_rebellion_refuse_sadistic|不 ， 我 才 不 陪 你 玩 这 小 儿 科 。 你 伸 手 要 王 冠 ， 我 看 只 会 更 快 上 断 头 台 ， 而 我 将 随 {s46}站 在 一 旁 ， 看 刽 子 手 的 斧 子 落 下 。 
str_rebellion_refuse_goodnatured|抱 歉 ， 我 不 能 背 弃 {s46}。 下 次 战 场 相 见 ， 别 见 怪 ， 好 吗 ？ 
str_rebellion_refuse_upstanding|抱 歉 ， {s45}的 宣 称 不 足 以 让 我 把 内 战 之 祸 加 诸 这 片 土 地 的 可 怜 人 。 我 仍 支 持 {s46}。 若 我 错 了 ， 愿 上 天 宽 恕 。 
str_talk_later_martial|现 在 不 是 谈 政 治 的 时 候 ！ 今 日 我 与 同 僚 领 主 披 甲 而 来 ， 你 最 好 准 备 迎 战 。 
str_talk_later_quarrelsome|你 竟 想 在 此 地 、 在 君 主 大 军 环 伺 之 下 劝 我 背 叛 ？ 你 把 我 当 什 么 ， 蠢 驴 吗 ？ 
str_talk_later_pitiless|住 口 ！ 此 事 我 若 有 话 要 说 ， 也 绝 不 会 在 此 刻 、 在 军 中 开 口 。 
str_talk_later_cunning|此 时 此 地 不 宜 谈 这 些 。 或 许 改 日 另 地 再 议 ， 但 现 在 我 们 仍 是 敌 人 。 
str_talk_later_sadistic|你 该 把 嘴 缝 上 ！ 若 让 其 他 封 臣 见 我 与 你 谈 叛 逆 之 事 ， 后 果 你 想 过 吗 ？ 
str_talk_later_goodnatured|想 与 我 谈 你 的 叛 乱 ？ 等 不 在 我 君 主 大 军 包 围 时 再 提 ， 我 自 会 听 你 说 。 
str_talk_later_upstanding|无 论 我 对 继 承 合 法 性 有 何 看 法 ， 也 不 会 在 此 刻 此 地 谈 论 。 若 能 私 下 再 见 ， 我 会 听 你 说 。 现 在 ， 把 我 当 敌 人 吧 。 
str_gossip_about_character_default|据 说 {s6}没 什 么 值 得 一 提 的 性 格 。 
str_gossip_about_character_martial|据 说 {s6}最 爱 的 就 是 打 仗 。 
str_gossip_about_character_quarrelsome|据 说 {s6}差 点 与 另 一 位 领 主 动 手 ， 只 因 那 人 拿 他 的 鼻 子 开 玩 笑 。 
str_gossip_about_character_selfrighteous|我 听 说 {s6}处 死 了 一 名 巡 林 人 ， 只 因 那 倒 霉 鬼 在 他 的 林 子 里 猎 了 一 头 鹿 。 
str_gossip_about_character_cunning|据 说 {s6}是 个 狡 猾 的 对 手 。 
str_gossip_about_character_sadistic|据 说 {s6}喜 欢 折 磨 敌 人 ， 我 可 不 想 惹 他 。 
str_gossip_about_character_goodnatured|据 说 {s6}是 个 好 人 ， 待 领 民 宽 厚 ， 比 大 多 数 贵 族 都 强 。 
str_gossip_about_character_upstanding|人 们 都 说 替 {s6}效 力 是 件 好 事 。 他 待 手 下 不 薄 ， 只 要 干 得 好 就 有 赏 赐 。 
str_latest_rumor|你 最 近 听 到 的 关 于 {s6}的 传 闻 是 ： 
str_changed_my_mind_martial|然 而 ， 你 的 慷 慨 陈 词 让 我 重 新 考 虑 自 己 的 立 场 。 
str_changed_my_mind_quarrelsome|可 我 觉 得 还 是 让 你 给 说 动 了 ， 你 这 混 蛋 。 我 且 听 着 。 
str_changed_my_mind_pitiless|可 你 这 般 恳 求 ， 我 便 屈 尊 再 想 一 想 。 
str_changed_my_mind_cunning|可 你 这 张 嘴 真 厉 害 ， 混 蛋 ， 倒 让 我 佩 服 。 我 听 着 呢 。 
str_changed_my_mind_sadistic|可 你 巧 舌 如 簧 ， 唱 得 动 听 ， 我 还 不 能 立 刻 回 绝 。 
str_changed_my_mind_goodnatured|不 过 你 说 得 有 理 ， 我 会 尽 量 保 持 开 放 的 态 度 。 
str_changed_my_mind_upstanding|不 过 你 辩 得 精 彩 ， 我 仍 在 听 。 
str_swadian_rebellion_pretender_intro|我 是 里 伯 的 索 尔 吉 ， 我 才 是 丹 麦 的 国 王 。 
str_vaegir_rebellion_pretender_intro|我 是 顿 嘉 尔 ， 佛 古 沙 之 子 ， 出 自 希 尼 尔 · 诺 伊 尔 恩 ， 我 才 是 爱 尔 兰 的 至 尊 王 ！ 
str_khergit_rebellion_pretender_intro|我 是 奥 斯 怀 ， 被 放 逐 的 诺 森 布 里 亚 郡 伯 。 
str_nord_rebellion_pretender_intro|我 是 西 奥 罗 ， 很 快 将 统 治 西 撒 克 逊 。 
str_rhodok_rebellion_pretender_intro|我 是 比 利 ， 布 鲁 德 之 子 ， 阿 尔 班 下 一 任 国 王 ！ 
str_sarranid_rebellion_pretender_intro|你 好 ， 异 乡 人 。 我 是 卡 德 瓦 隆 ， 格 温 内 斯 诸 王 最 后 的 继 承 人 。 
str_swadian_rebellion_pretender_story_1|当 霍 里 克 那 混 蛋 在 外 劫 掠 时 ， 是 我 父 亲 拯 救 了 族 人 。 他 根 本 没 想 到 把 士 兵 全 带 走 后 ， 这 片 土 地 会 落 得 什 么 下 场 ！ 是 我 父 亲 挺 身 而 出 ！ 
str_vaegir_rebellion_pretender_story_1|我 当 了 三 十 年 储 君 ， 去 年 那 老 不 死 的 却 想 换 个 年 轻 姑 娘 “ 焕 发 青 春 ” ， 你 懂 我 意 思 吧 。 
str_khergit_rebellion_pretender_story_1|丹 麦 人 把 我 的 土 地 烧 成 白 地 。 在 东 盎 格 利 亚 那 个 懦 夫 国 王 的 补 给 下 ， 他 们 从 南 面 长 驱 直 入 。 各 领 主 只 顾 保 住 自 家 采 邑 ， 无 人 响 应 王 命 ， 以 为 丹 麦 人 只 想 找 埃 拉 王 报 仇 。 可 丹 麦 人 要 的 是 一 切 。 仅 凭 我 的 亲 兵 ， 我 守 不 住 这 份 家 业 。 
str_nord_rebellion_pretender_story_1|我 父 亲 是 肯 特 国 王 ， 当 今 国 王 的 兄 长 。 他 敬 奉 父 王 埃 塞 尔 伍 尔 夫 ， 不 像 他 弟 弟 埃 塞 尔 博 尔 德 ， 篡 位 还 娶 了 父 王 的 遗 孀 。 
str_rhodok_rebellion_pretender_story_1|过 去 十 五 年 ， 我 带 着 弟 兄 们 在 这 片 土 地 上 奔 走 ， 为 村 庄 提 供 保 护 ， 换 几 枚 银 币 和 一 顿 饱 饭 。 这 本 就 是 我 们 应 得 的 。 
str_sarranid_rebellion_pretender_story_1|我 与 先 祖 同 名 ， 他 在 哈 特 菲 蔡 斯 追 击 中 击 败 了 德 里 亚 的 爱 德 温 。 此 后 我 们 被 踢 下 王 位 ， 家 族 远 离 王 冠 … … 直 到 现 在 。 
str_swadian_rebellion_pretender_story_2|国 王 带 着 冒 险 所 得 的 大 量 银 子 和 那 些 古 怪 十 字 架 归 来 后 ， 便 惧 怕 我 们 。 父 亲 在 山 贼 来 袭 时 赢 得 了 众 人 的 忠 诚 。 那 懦 夫 把 我 们 赶 出 自 己 的 家 园 ！ 几 个 月 后 ， 父 亲 因 不 堪 羞 辱 而 自 尽 。 此 后 我 便 与 忠 于 我 们 的 人 同 住 ， 他 们 明 白 真 正 的 领 袖 是 我 父 亲 。 
str_vaegir_rebellion_pretender_story_2|倒 霉 的 是 ， 那 小 女 王 极 其 多 产 ， 而 国 王 已 六 十 二 岁 … … 多 年 毒 杀 妻 子 以 阻 止 合 法 继 承 人 出 生 … … 如 今 竟 成 这 样 ！ 看 来 父 亲 宁 可 要 个 幼 子 继 承 人 ， 也 不 要 成 年 的 私 生 子 。 
str_khergit_rebellion_pretender_story_2|凡 未 公 开 归 顺 者 ， 皆 被 逐 出 祖 地 。 眨 眼 间 ， 延 续 数 百 年 的 王 国 灰 飞 烟 灭 。 列 祖 列 宗 必 会 蒙 羞 。 
str_nord_rebellion_pretender_story_2|更 不 幸 的 是 ， 十 六 年 前 ， 父 亲 在 抵 御 “ 毛 裤 子 ” 拉 格 纳 率 领 的 丹 麦 人 首 次 入 侵 时 战 死 。 乱 伦 的 埃 塞 尔 博 尔 德 坐 享 父 亲 牺 牲 的 成 果 ， 九 年 后 安 然 离 世 。 我 仍 被 视 为 太 年 幼 ， 无 法 即 位 ， 于 是 叔 父 埃 塞 尔 伯 特 与 埃 塞 尔 雷 德 先 后 登 上 肯 特 与 西 撒 克 逊 的 王 位 。 
str_rhodok_rebellion_pretender_story_2|只 有 大 城 拒 绝 我 们 。 他 们 说 真 正 的 危 险 是 我 们 ， 说 我 们 保 护 不 了 他 们 ， 还 说 我 们 是 勒 索 者 。 可 这 些 都 是 谎 言 ， 该 死 的 谎 言 ！ 真 正 的 盗 贼 是 那 些 自 称 领 主 的 家 伙 ， 最 恶 劣 的 便 是 那 篡 位 者 国 王 。 
str_sarranid_rebellion_pretender_story_2|这 几 年 王 国 在 篡 位 者 手 中 饱 受 折 磨 。 我 想 百 姓 已 忍 无 可 忍 。 他 们 会 支 持 我 争 夺 王 位 。 
str_swadian_rebellion_pretender_story_3|整 个 王 国 因 我 父 亲 及 并 肩 作 战 者 — — 如 我 与 我 的 部 下 — — 而 存 在 。 我 有 足 够 人 手 夺 取 首 都 并 坚 守 ， 另 一 位 如 你 般 的 勇 士 可 攻 取 并 守 住 其 他 要 塞 。 一 起 夺 回 霍 里 克 国 王 欠 我 的 一 切 。 
str_vaegir_rebellion_pretender_story_3|然 而 他 的 新 王 朝 不 会 长 久 。 族 内 众 人 已 在 争 权 。 唯 有 强 王 才 能 团 结 他 们 共 御 外 敌 ！ 我 需 要 你 支 持 我 的 王 位 权 利 ， 因 为 父 亲 在 只 剩 最 后 一 个 儿 子 前 不 会 认 可 我 。 我 们 必 须 为 王 国 未 来 而 战 。 
str_khergit_rebellion_pretender_story_3|不 过 ， 我 已 再 次 将 族 人 统 一 于 我 的 旗 帜 下 。 我 集 结 的 兵 力 超 越 任 何 祖 先 ， 但 我 仍 缺 良 将 。 一 些 最 出 色 的 指 挥 官 在 徒 劳 抗 丹 时 阵 亡 。 我 可 让 你 统 领 一 军 ， 若 我 们 成 功 ， 你 或 可 获 一 城 治 理 。 
str_nord_rebellion_pretender_story_3|我 确 信 自 父 亲 之 后 ， 祖 父 一 脉 一 代 比 一 代 衰 弱 。 埃 塞 尔 雷 德 过 于 虔 诚 ， 阿 尔 弗 雷 德 又 太 书 卷 气 ； 二 人 联 手 也 未 能 挡 住 丹 麦 人 。 我 更 像 父 亲 ， 能 有 力 捍 卫 这 片 土 地 。 有 你 相 助 ， 我 们 将 把 和 平 与 繁 荣 带 回 王 国 ， 乃 至 全 不 列 颠 。 
str_rhodok_rebellion_pretender_story_3|我 们 计 划 攻 打 那 贼 酋 的 主 堡 ， 终 结 他 的 恐 怖 统 治 。 此 地 之 民 只 需 向 我 们 纳 保 护 费 ； 我 绝 不 容 忍 竞 争 。 加 入 我 和 我 的 队 伍 ， 我 会 让 你 银 子 多 得 能 游 泳 。 我 还 会 给 你 征 收 的 差 事 ！ 
str_sarranid_rebellion_pretender_story_3|我 只 需 良 将 领 军 ， 若 可 能 ， 再 得 精 兵 。 一 起 重 振 家 族 荣 耀 ， 取 得 我 应 得 的 地 位 。 随 我 来 ， 召 集 你 的 士 兵 ， 我 们 的 名 字 将 永 载 史 册 。 向 我 起 誓 ， 你 绝 不 会 后 悔 。 
str_swadian_rebellion_monarch_response_1|那 兔 崽 子 又 在 我 的 土 地 上 冒 充 合 法 国 王 … … 当 初 就 该 把 他 送 得 更 远 。 若 非 我 们 带 回 那 些 银 子 ， 这 王 国 早 完 了 。 若 早 知 我 的 土 地 会 被 山 贼 夷 平 ， 我 绝 不 会 带 走 那 么 多 兵 。 
str_vaegir_rebellion_monarch_response_1|那 小 子 永 远 不 懂 自 己 在 这 世 上 的 位 置 。 他 是 私 生 子 ， 除 了 服 侍 领 主 挣 得 的 权 利 外 一 无 所 有 。 他 是 我 儿 子 ， 可 就 算 我 的 幼 子 哪 天 夭 折 ， 他 也 休 想 成 王 。 
str_khergit_rebellion_monarch_response_1|谁 ？ 我 没 听 过 这 名 字 。 丹 麦 人 助 我 确 立 宣 称 ， 失 地 者 已 无 立 足 之 地 。 
str_nord_rebellion_monarch_response_1|我 侄 子 几 年 前 还 是 个 好 骑 士 。 后 来 他 常 跟 父 亲 的 老 臣 厮 混 ， 如 今 只 听 他 们 的 话 。 那 些 人 给 他 灌 输 念 头 ， 想 借 此 重 掌 权 势 。 
str_rhodok_rebellion_monarch_response_1|他 不 过 是 个 山 贼 。 这 几 年 他 一 直 勒 索 我 的 村 庄 。 他 假 装 保 护 村 民 免 受 “ 山 贼 ” 之 害 ， 可 真 正 的 山 贼 就 是 他 们 自 己 ！ 
str_sarranid_rebellion_monarch_response_1|我 们 确 实 处 境 艰 难 ， 但 百 姓 知 道 ， 这 是 因 为 我 们 的 商 人 屡 遭 劫 掠 而 破 产 。 如 今 我 得 知 他 就 在 我 的 王 国 ， 我 可 以 断 言 ， 那 些 袭 击 正 是 他 主 使 。 
str_swadian_rebellion_monarch_response_2|他 们 大 可 来 攻 ， 可 连 我 一 座 村 庄 都 拿 不 下 ， 哈 哈 ！ 听 我 一 言 ， 别 理 他 。 他 永 远 只 是 个 夸 夸 其 谈 的 废 物 。 
str_vaegir_rebellion_monarch_response_2|只 有 他 亲 自 跪 在 我 面 前 ， 我 才 肯 原 谅 他 的 过 错 ， 让 他 远 远 离 开 我 的 嫡 子 ， 苟 且 偷 生 。 
str_khergit_rebellion_monarch_response_2|我 绝 不 容 忍 任 何 觊 觎 我 王 冠 的 僭 越 者 。 若 他 及 其 党 羽 敢 行 不 法 之 事 ， 我 必 将 其 尽 数 缉 拿 。 如 今 这 些 百 姓 归 我 庇 护 ， 我 必 守 护 他 们 。 
str_nord_rebellion_monarch_response_2|我 并 非 想 束 缚 他 ， 可 丹 麦 人 已 让 我 焦 头 烂 额 ， 再 无 力 防 备 背 后 的 冷 箭 。 世 事 无 常 ， 王 位 传 承 自 有 其 势 ， 他 始 终 不 懂 。 
str_rhodok_rebellion_monarch_response_2|他 们 加 诸 我 子 民 的 痛 苦 ， 必 将 百 倍 奉 还 ； 一 个 都 别 想 活 。 
str_sarranid_rebellion_monarch_response_2|守 护 王 国 、 庇 护 子 民 乃 我 之 责 。 我 会 将 他 擒 来 ， 好 好 “ 谈 谈 ” 。 此 事 不 能 再 拖 。 
str_courtship_comment_conventional_generic|是 非 常 有 教 养 的 一 类 
str_courtship_comment_adventurous_generic|似 乎 足 够 正 派 
str_courtship_comment_otherworldly_generic|最 为 文 雅 殷 勤 
str_courtship_comment_ambitious_generic|缺 乏 冲 劲 — — 或 许 尚 可 补 救 
str_courtship_comment_moralist_generic|看 起 来 是 个 好 人 
str_feast_description|稀 少 
str_feast_description_2|微 薄 
str_feast_description_3|勉 强 够 用 
str_feast_description_4|充 足 
str_feast_description_5|丰 饶 
str_feast_description_6|豪 奢 
str_feast_lengthy_description_1|你 备 下 的 食 物 不 足 以 款 待 宾 客 及 其 随 从 ， 他 们 只 得 向 乡 间 高 价 购 粮 。 众 人 皆 言 你 未 尽 地 主 之 谊 ， 既 失 信 任 ， 又 损 名 声 。 
str_feast_lengthy_description_2|你 备 的 酒 食 终 告 罄 ， 宾 客 只 得 向 行 商 高 价 购 食 ， 或 遣 返 部 分 随 从 。 宽 厚 者 将 此 归 咎 于 筹 划 不 周 而 非 吝 啬 ， 然 无 论 如 何 ， 你 的 名 声 已 蒙 尘 。 
str_feast_lengthy_description_3|你 备 的 酒 食 尚 够 贵 族 享 用 ， 然 其 随 从 中 的 平 民 却 空 手 而 归 。 你 正 树 立 “ 至 少 懂 得 贵 族 本 分 ” 的 名 声 。 
str_feast_lengthy_description_4|你 备 足 酒 食 ， 品 类 亦 丰 ， 足 以 为 你 增 光 。 佳 肴 美 酒 与 欢 笑 令 宾 客 畅 所 欲 言 ， 论 及 国 事 ， 对 你 的 信 任 亦 随 之 加 深 。 
str_feast_lengthy_description_5|你 不 仅 摆 下 丰 盛 筵 席 款 待 贵 族 宾 客 ， 也 照 顾 到 他 们 的 随 从 ， 余 粮 更 分 予 穷 人 。 宾 客 盛 赞 你 的 慷 慨 ， 更 钦 佩 你 深 知 自 身 地 位 所 负 之 责 。 酒 食 助 兴 ， 席 间 谈 笑 风 生 ， 与 会 者 情 谊 愈 厚 。 
str_feast_lengthy_description_6|此 后 数 月 ， 王 国 上 下 仍 将 传 颂 你 宴 席 之 盛 ， 它 将 成 为 后 世 宴 会 的 标 杆 。 你 不 仅 让 贵 族 与 随 从 饱 餐 ， 连 聚 于 门 外 的 穷 人 也 得 以 果 腹 。 
str_credits_1|©2010 TaleWorlds Entertainment。 Mount & Blade： Warband^©2014 不 列 颠 共 主 S.L。 Viking Conquest
str_credits_2|不 列 颠 共 主 S.L.^^游 戏 设 计 ^Alberto Fuentevilla^Matthias Grohmann^Michael 'Motomataru' Richter
str_credits_3|编 程 ^Alberto Fuentevilla^Matthias Grohmann^Michael 'Motomataru' Richter^Slawomir Libura^Michael Lyubchenko^^特 别 感 谢 战 斗 界 面 ^Alexander Souslov （ Snowbird Studios） 
str_credits_4|场 景 ^Asbjorn Lindegaard Moller^^模 型 ^Cesar Inarrea^Leyre Ramirez^Miguel Egana Silva^^2D 美 术 ^Yeyo Balbas^^纹 理 ^Miguel Egana Silva^Sebastian Wunnicke
str_credits_5|着 色 器 ^Marc Natta^^动 画 ^Slawomir Libura^^概 念 美 术 ^Yeyo Balbas
str_credits_6|剧 本 ^Alberto Fuentevilla
str_credits_7|音 乐 ^Marcus Bressler - Viking Raid^CrystalMoors - Antiqvam Exqvirite Matrem， Nabia Orebia， The Unconquered Land^Juha-Matti Koppelomaki - Viking War Horns^Symphony of Specters - Day of War^Mike Sea - Go Vikes.^KlepatoDesign - The Ancients^Darius Sobolewski - Nordic Orchestra^Logan Epic Canto - Celtic Spirit^Allegro120 - Celtic^Cinemonia - Celtic Legend^^Tim Donovan - Solemn Funeral Pyre， Fallen Warrior^MrHumble - Ballad of a Hero.^^外 部 支 持 ^Yughues Nobiax^Stephen Pollington
str_credits_8|测 试 与 贡 献 ^^Kalarhan^Kraggrim^Hunta^Ragnarson^Takeda Shingen^YourStepDad^Nijis^Krisvk^Dowdpride^Arch3r^Kazzan^Rurin^Fredelios^Blivandefar^Cleric Johnson^AZAN^Mitchell^M^Ozan Celik^Reiksmarshal^Hrotha^^特 别 感 谢 原 版 不 列 颠 共 主 模 组 的 玩 家 与 测 试 者 ， 多 年 来 提 供 宝 贵 反 馈 ， 我 们 仅 来 得 及 实 现 其 中 一 小 部 分 。 ^^市 场 素 材 ^Miguel Egana Silva （ KreativLandschaft） 
str_credits_10|TALEWORLDS ENTERTAINMENT^^主 程 序 ^Cem Çimenbiçer^Şahin Serdar Koçdemir^^程 序 ^Mustafa Korkmaz^Gökhan Uras^Dündar Ünsal
str_credits_11|主 美 术 ^Özgür Saral^^美 术 ^Andaç Bingöl^Deniz Köklü^Fatma Nadide Öcba^Fırat Murat Çebi^Gökalp Doğan^Oğuz Tunceli^Sten Oom
str_credits_12|TaleWorlds 管 理 层 ^^创 始 人 /首 席 执 行 官 ^Armağan Yavuz^^首 席 运 营 官 ^Ali Erkin^^制 作 人 /商 务 拓 展 ^Vishnu Vijayakumar^^公 关 /社 区 经 理 ^Frank Elliott
str_credits_9|真 人 视 频 ^^Daniel Renger^Martin Unglert^Josef Becker^Jan Jaegers^Markus Beck^Jurgen Bonisch^Chris Czichowsky^Florian Dosch^Michael Exner^Fryzel Hans-Jurgen^Alexandra Gorner^Alexander Gorner^Franz Hauser^Jenna Klein^Claudia Klingner^Marcus Langer^Hans Lendorf^Markus Mickel^Patrick Mouka^Corinna Oppitz^Sibylle Oppitz^Bernd Rohde^Volker Schlott^Benjamin Schuler^Michael Schuler^Rebekka Schuler^Julia Schuster^Alexander Seufert^Susan Sumer^Johannes Werth^Bernd Wolfsteiner^Sabine Wudy^Sebastian Wudy^Stefan Wudy^^拍 摄 地 点 ^Geschichtspark Barnau^^标 志 设 计 ^Jason Brown^^封 面 美 术 ^Piotr Fox Wysocki^^排 版 ^Christian Sabe^Melina Grundel^^海 报 ^Piotr Fox Wysocki^^概 念 美 术 ^Ganbat Badamkhand^^手 册 编 辑 与 数 字 润 色 ^Ryan Newman^Nick Stewart^^网 页 ^Martin Ericsson^^市 场 素 材 ^2Coats^^本 地 化 ^S&H Entertainment Localization
str_multi_scene_1|撒 克 逊 村 庄 
str_multi_scene_2|泰 格 尔 垒 
str_multi_scene_3|塔 罗 山 堡 
str_multi_scene_4|哈 德 良 长 城 
str_multi_scene_5|哈 德 良 长 城 
str_multi_scene_6|Ad Candida Casam
str_multi_scene_7|阿 斯 垒 
str_multi_scene_8|奥 莱 格 堡 
str_multi_scene_9|拜 克 垒 
str_multi_scene_10|罗 马 堡 垒 
str_multi_scene_11|进 入 树 林 
str_multi_scene_12|岛 上 民 居 
str_multi_scene_13|撒 克 逊 河 畔 要 塞 
str_multi_scene_14|海 员 
str_multi_scene_15|撒 克 逊 决 斗 场 
str_multi_scene_16|美 纽 要 塞 
str_multi_scene_17|Abbercurnig
str_multi_scene_18|藏 身 处 
str_multi_scene_19|巨 石 阵 
str_multi_scene_inv_1|哈 德 良 长 城 
str_multi_scene_inv_2|撒 克 逊 堡 垒 
str_multi_scene_inv_3|拜 克 垒 
str_multi_scene_inv_4|美 纽 要 塞 
str_multi_scene_inv_5|巨 石 阵 
str_multi_scene_20|拜 克 垒 
str_multi_scene_21|美 纽 要 塞 
str_multi_scene_22|随 机 雪 地 
str_multi_sea_1|平 静 海 面 
str_multi_sea_2|海 上 风 暴 
str_multi_coast_1|港 口 突 袭 
str_multi_coast_2|港 口 突 袭 （ 暴 风 雨 ） 
str_multi_scene_end|多 人 场 景 结 束 
str_multi_game_type_1|混 战 模 式 
str_multi_game_type_2|组 队 混 战 
str_multi_game_type_3|战 场 模 式 
str_multi_game_type_4|攻 城 
str_multi_game_type_5|决 斗 
str_multi_game_type_6|海 战 
str_multi_game_type_7|索 尔 的 冠 军 
str_multi_game_type_8|维 京 入 侵 
str_multi_game_type_9|军 阀 对 决 
str_multi_game_type_10|突 袭 
str_multi_game_types_end|多 人 游 戏 类 型 结 束 
str_multi_game_type_desc_1|^各 自 为 战 ！ ^^击 杀 对 手 赢 得 金 钱 和 荣 誉 ！ ^^
str_multi_game_type_desc_2|^两 支 队 伍 ， 无 限 重 生 。 ^^击 杀 敌 方 ， 为 你 的 阵 营 赢 得 金 钱 和 点 数 。 ^^
str_multi_game_type_desc_3|^两 支 队 伍 ， 没 有 重 生 。 ^^你 必 须 在 击 杀 敌 方 的 同 时 确 保 你 和 你 的 队 友 都 能 存 活 下 来 。 
str_multi_game_type_desc_4|^护 旗 ： 一 方 据 守 阵 地 ， 在 倒 计 时 内 抵 挡 另 一 方 进 攻 ， 保 护 己 方 旗 帜 。 防 守 方 重 生 速 度 减 慢 。 ^
str_multi_game_type_desc_5|^寻 找 另 一 名 玩 家 。 ^^自 我 介 绍 。 ^^不 是 你 死 就 是 我 亡 。 ^
str_multi_game_type_desc_6|^这 是 海 战 版 战 斗 模 式 ！ ^^^^
str_multi_game_type_desc_7|^找 到 并 击 杀 冠 军 ， 赢 得 索 尔 垂 青 ！ ^^只 有 击 杀 索 尔 冠 军 ， 或 身 为 冠 军 时 击 杀 他 人 ， 才 能 得 分 。 ^^^
str_multi_game_type_desc_8|^与 其 他 玩 家 组 队 ， 抵 御 敌 军 浪 潮 ！ ^^^
str_multi_game_type_desc_9|^该 战 斗 模 式 允 许 玩 家 购 买 并 指 挥 AI 部 队 。 ^^
