qstr_Breaking_camp...|终止宿营。
qstr_Poison_the_{s2}_s_wa|在{s2}的水源下毒。
qstr_Kill_the_{s2}_s_live|杀死{s2}的牲畜。
qstr_Burn_the_{s2}_s_food|烧了{s2}的粮仓。
qstr_Subvert_the_defender|策反守卫者
qstr_____| ？？
qstr_A_group_of_chosen_me|选出的人会被派到水源的位置。
qstr_A_group_of_chosen_men|选出的人会被派去杀牛。
qstr_A_group_of_chosen_men_|选出的人会被派去烧粮仓。
qstr_A_group_of_chosen_men_w|选出的人会被派去策反守军。
qstr_You_do_not_have_the_|你没有600先令来实施这项任务。
qstr_{s1}_of_the_{s2}|{s2} 的{s1} 
qstr_Send|派出
qstr_You_are_hiring_a_mes|你在招募信使。^你可以发出三种信件：发布命令，改善关系和实施外交。
qstr_Message_Type:|信件类型：
qstr_Select_a_Place_for_y|选择你的命令：
qstr_>>_Orders:^_You_cann|> > 命令：^你不能对他国领主发布命令。
qstr_Orders:_None.|命令：无。
qstr_Orders:_Meet_and_Fol|命令：与你会合并跟随你。
qstr_Orders:_Go_to_a_Plac|命令：去一个地方。
qstr_Orders:_Patrol_an_Ar|命令：巡逻一片区域。
qstr_Orders:_Besiege_a_Pl|命令：围攻一个地方。
qstr_>>_Relations:^This_l|> > 关系：^这个领主属于你的王国。
qstr_Relations:_None.|关系：无。
qstr_Relations:_Insult_an|关系：侮辱，激怒。
qstr_Relations:_Send_a_Gi|关系：送出礼物。
qstr_>>Diplomacy:^It_is_o|> > ^^外交：^只能与阵营领袖谈判^——你不是国王。
qstr_>>Diplomacy:^It_is_on|> > 外交：^只有阵营领导者之间才能谈判，^{s1} 并不是一位国王。
qstr_Diplomacy:_None.|外交：无。
qstr_Diplomacy:_Suggest_a|外交：提议联盟。
qstr_Diplomacy:_Suggest_P|外交：议和。
qstr_Diplomacy:_Declare_W|外交：宣战。
qstr_You_want_to_order_{s|你想命令{s9}与你会合并跟随你。
qstr_You_want_to_order_{s9|你想命令{s9}去……
qstr_You_want_to_order_{s9}|你想命令{s9}去巡逻……
qstr_You_want_to_order_{s9}_|你想命令{s9}去围攻……
qstr_You_want_to_send_a_m|你想送出信件去侮辱，激怒{s9} 。这或许会使得他攻击你。
qstr_You_want_to_send_a_g|你想送出价值2000先令的戒指，手镯和其他首饰当做礼物给{s9} ，以增进你们之间的关系。
qstr_You_want_to_invite_{|你想邀请{s9}与你结成同盟。
qstr_You_want_to_make_pea|你想与{s9}停战。
qstr_You_want_to_declare_|你想与{s9}宣战。切记，如果不是与一个关系很差的阵营宣战，就会造成其他阵营的不满与不信任，尤其是当你刚停战或是拥有同盟时。
qstr_No_message_chosen.|无选中信件。
qstr_>_You_are_sending_a_|> 你向{s9}送出了信件。^^> 距离：{reg2}公里。^^> 信使服务将会花费{reg3} 先令。^^^> {s10}
qstr_You_have_not_chosen_|你没有选择信件发送。
qstr_This_place_is_alread|这个地方已经被他国围攻了。
qstr_You_have_good_relati|你与这个国家的关系很好，你的领主不会攻击它。
qstr_You_re_already_at_pe|你已经与这个国家处于和平了，没必要派出信使了。
qstr_You_need_to_improve_|在你提议结盟前，你应与这个国家增进关系。
qstr_You_already_have_an_|你已经与这个国家结盟了，只有等目前的盟约结束了才能送出你的请愿。
qstr_You_are_already_at_w|你已经与这个国家开战了。
qstr_You_do_not_have_the_n|你没有足够的金钱支付给信使。
qstr_This_is_a_hardcore_m|这是入侵的专家模式。^^只有回合开始时才能复活。
qstr_Please_wait.^Player_|请等待。^玩家将在{reg11?第{reg10}回合后:下回合}复活。
qstr_Send_message_to_othe|向其他管理员发送消息：
qstr_Broadcast_message_to|向所有玩家广播消息：
qstr_*ADMIN*:_{s0}|*ADMIN* ：{s0}
qstr_*ADMIN*:|*ADMIN*:
qstr_Reset_map|重置地图
qstr_Slay_all_horses|杀死所有的马
qstr_Slay_all_bots|杀死所有机器人
qstr_Slay_player|杀死玩家
qstr_Heal_player|治疗玩家
qstr_Refill_player_s_ammo|补充玩家的弹药
qstr_Fix_player_s_shield|修复玩家的盾牌
qstr_Change_player_s_team|改变玩家的团队
qstr_Make_player_a_specta|让玩家成为旁观者
qstr_Give_player_Thor_s_H|将索尔之锤交给玩家
qstr_Beacon_a_player|标记一个玩家
qstr_Teleport_to_player|传送到玩家
qstr_Teleport_a_player_to|把玩家传送到我
qstr_Make_player_immortal|把玩家设为不死
qstr_Make_player_mortal_a|把玩家设为可以被杀死
qstr_Force_Master_of_the_|这块土地上强有力的统治者
qstr_Only_available_in_Ba|只在战场模式可用！
qstr_You_are_the_Thor_s_C|你是索尔的冠军
qstr_Kill_as_many_opponen|尽可能多的杀死对手
qstr_Kill|杀
qstr_You_are_Thor_s_champ|你是索尔的拥护者！
qstr_You_are_the_captain_|你掌控这艘船了
qstr_Controls:_arrow_keys|操纵：箭头键，回车
qstr_Ship_Captain|船长
qstr_Change_game_type_to:|更换你的游戏模式为：
qstr_Send_Poll|发送投票
qstr_Choose_a_colour_for_|为你的王国选择一个颜色！
qstr_Red|红色
qstr_Green|绿色
qstr_Blue|蓝色
qstr_{reg11}_{reg12}_{reg|{reg11} ，{reg12} ，{reg13}
qstr_Head_of_cattle_to_ta|带牛( 最大{reg22}):
qstr_Create_a_new_goal:|创建新的目标：
qstr__You_can_select_a_cu|( 你可以选择一个自定目标或下面的其中一个，完成后会有奖励)
qstr_Let_me_choose!|让我选择！
qstr_{s0}:|{s0} ：
qstr_Army_size:|军队规模：
qstr_Marry_a_{reg59?lord:|与{reg59?先生:女士} 结婚：
qstr_Right_to_rule:|统治权：
qstr_Wealth:|财富：
qstr__You_need_to_choose^|( 你需要先设置一个目标！)
qstr_Yes|是
qstr_No|否
qstr_Custom_Goal__no_rewa|自定目标( 没有回报)
qstr__You_are_a_king_alre|( 你已经是一名国王了！)
qstr__You_need_to_be_the_|( 你需要先成为你的阵营的统治者！)
qstr_{reg1}_{reg2}|{reg1} ，{reg2}
qstr_New_Goal|新目标
qstr_Current_Goal:_{s1}|当前目标：{s1}
qstr_Troops:|士兵：
qstr_Marry:|婚姻：
qstr_{s3}^_______________|{s3}^-------------------------------^
qstr_{s1}^{s2}^|{s1}^{s2}^
qstr_^{s1}|^{s1}
qstr_Port_of_{s1}|{s1}港
qstr_Refill_Supplies|补充给养
qstr_Refill_Stones|补充石头。
qstr_{s1}_of_the_{s3}_was|{s3}的{s1}被击败但设法逃离了。
qstr_{s49}{s12}|{s49}{s12}
qstr_Trying_to_improve_yo|努力提升与{s44}的关系
qstr_Is_imprisoned_in_the|被关在　 {s44}的监狱里
qstr_{s54}_is_a_claimant_|{s54}是{s56}的篡位者。
qstr_nowhere|无
qstr_{s57}_and_{s58}|{s57}和{s58}
qstr_{reg3?She:He}|{reg3?她:他}
qstr_The_town_of_{s50}|{s50}镇
qstr_The_village_of_{s50}|{s52}附近的{s50}村
qstr_{s51}_belongs_to_{s1|{s51}属于{s2}的{s1} 。
qstr_{s2}It_has_no_villag|{s2}它没有下属的村庄。^
qstr_{s2}{reg0?Its_villag|{s2}它{reg0?的下属的村庄是:的下属的村庄是}{s8} 。^
qstr_{s2}Its_prosperity_i|{s2}它的繁荣度为：{s50}
qstr_{s9}_and_{s10}|{s9}和{s10}
qstr_{s12}{s14}|{s12}{s14}
qstr_{s12}_{s14}|{s12} ，{s14}
qstr_{s11}{s14}|{s11}{s14}
qstr_{s11}_{s14}|{s11} ，{s14}
qstr_{s13}{s14}|{s13}{s14}
qstr_{s13}_{s14}|{s13} ，{s14}
qstr_{s21}._The_{s8}_decl|为了履行盟约，{s21}对{s8}宣战了
qstr_No_wars!|没有战争！
qstr_At_war_with__{reg1}_|与({reg1}) 交战中：{s12}
qstr_No_allies!|没有盟友！
qstr_Alliances__{reg2}___|同盟({reg2}) ：{s11}
qstr_No_casus_belli!|没有开战理由！
qstr_Casus_belli____{reg3|开战理由({reg3}) ：{s13}
qstr_{s12}^{s11}^{s13}^^{|{s12}^{s11}^{s13}^^{s21}
qstr_^___________________|^-------------------------------------------------------------------------------^{s1}^{s21}
qstr_The_{s5}_has_been_de|{s5}被击败了！
qstr_{s7}_opened_the_gate|{s7}将门打开。
qstr_{s7}_closed_the_gate|{s7}将门关上。
qstr_You_have_received_{r|你受到了{reg5}致命一击！
qstr_You_have_dealt_{reg5|你发动了{reg5}致命一击！
qstr_You_have_received_{re|你的头遭到了{reg5}致命一击，你在一秒钟内将看不清东西！
qstr_You_unleash_your_bat|你发起狂暴了！！！
qstr_You_feel_exhausted_a|狂暴后你筋疲力尽了！！！
qstr_Your_strength_is_bac|你的力量恢复了。
qstr_You_are_too_exhauste|你现在筋疲力尽了，不能进入狂暴状态。
qstr_The_sound_of_your_si|我方的号角声使你更加有力！
qstr_The_sound_of_the_ene|敌方的号角声使你逡巡不前！
qstr_You_are_no_longer_af|你不再受到号角声的影响！
qstr_{reg1}_ally_troops_w|{reg1}盟军为我方的号角声所激励！
qstr_No_ally_troops_were_|盟军不再受到我方的号角声的影响。
qstr_You_need_to_catch_yo|你在再次吹响号角前需要歇口气。
qstr_Your_supplies_are_re|你的给养已补充完毕。
qstr_All_stray_horses_wer|所有无人骑乘的马被管理员杀死了。
qstr_AI_warriors_were_sla|AI战士被管理员杀死
qstr_All_players_were_sla|所有玩家被一名管理员杀死
qstr_Player__{s1}__was_sl|玩家“{s1} ”被一名管理员杀死
qstr_Admin_made_all_playe|所有人都被管理员设置为不死模式。
qstr_Admin_made_all_player|所有人都被管理员设置为可被死模式。
qstr_All_players_were_hea|所有玩家被一名管理员治疗
qstr_Admin_refilled_ammo_|管理员为所有玩家补充了弹药。
qstr_Admin_fixed_shields_|管理员为所有玩家修复了盾牌。
qstr_Player__{s1}__was_he|玩家“{s1} ”被一名管理员治疗
qstr_Admin_refilled_ammo_o|管理员为玩家'{s1}' 补充了弹药。
qstr_Admin_fixed_shield_o|管理员为玩家'{s1}' 修复了盾牌。
qstr_Admin_made_player__{|管理员设定玩家'{s1}' {reg1?不: }可以被杀死
qstr_Teams_have_been_swit|队伍被管理员交换了
qstr_Player__{s1}__was_sw|玩家“{s1} ”被一名管理员切换到对方队伍
qstr_All_players_were_tur|所有玩家被一名管理员切换到旁观者
qstr_Player__{s1}__was_tu|玩家“{s1} ”被一名管理员切换到旁观者
qstr_{s1}_received_a_Thor|{s1}从一名管理员处得到索尔之锤
qstr_*ADMIN_CHAT*_[{s1}]:|*ADMIN CHAT* [{s1}] ：{s0}
qstr_Grants_+{reg1}_to_pa|部队士气增加{reg1}
qstr_Increases_morale_dur|在战斗中增加士气
qstr_Heavy_Armour:_you_su|重甲：你的一些技能将被削弱
qstr_Medium_Armour:_you_s|中甲：你的一些技能将被削弱
qstr_Heavy_Equipment:_you|重装备：你的一些技能将被削弱
qstr_Ritual_Equipment:_Ad|仪仗装备：你的某些技能将被削弱
qstr_Improves_leadership_|提高你的领导力和说服力
qstr_Requires_{reg1}_inte|需要{reg1}点智慧才能读
qstr_Reading_Progress:_{r|阅读进度：{reg1}% 
qstr_wound_treatment|治疗伤口
qstr_trainer|教练
qstr_surgery|手术
qstr_persuasion|说服
qstr_Gives_+1_to_{s1}_whi|在物品栏中增加1点{s1}
qstr_Special_Attire:_Bonu|特殊装备：个别技能得到加成
qstr_Bonus_to_movement_sp|运动速度加成
qstr_Move_here|移动到这里
qstr_View_notes|查看记录
qstr_Accompany|同伴
qstr_Find_landing_point|找到登陆点
qstr_killed|死亡
qstr_wounded|受伤
qstr_{s0}^TOTAL:_{reg3}__|{s0}^总计：{reg3}({s2}) 
qstr_^{s0}|^{s0}
qstr_nothing|无
qstr_{reg0}_village{reg1?|{reg0}村庄{reg1?:} 
qstr_{reg0}_fort{reg1?s:}|{reg0}城堡{reg1?:} 
qstr_{reg0}_fort{reg1?s:}_|{reg0}城堡{reg1?:} 以及{s0}
qstr_{reg0}_town{reg1?s:}|{reg0}城镇{reg1?:} 
qstr_{reg0}_town{reg1?s:}_|{reg0}城镇{reg1?:} 以及{s0}
qstr_{reg0}_town{reg1?s:}_{|{reg0}城镇{reg1?:} ，{s0}
qstr_Your_opponents_are_r|你的对手已经准备好了。
qstr_Try_to_destroy_as_ma|你需要在两分半钟的时间内尽可能多的摧毁目标。
qstr_Stay_behind_the_line|站在线后射击目标。尽量不要浪费任何一发弹药。
qstr_trying_quest_{reg1}|试图探索{reg1}
qstr_Garrison_Troops|守备部队
qstr_Camp_Troops|营地部队
qstr_Refuge_Troops|避难所部队
qstr_Even_though_nearby_{|即使就在附近，{s1}也不会来帮你。
qstr_Battle_Advantage_=_{|战场优势为{reg0} 。
qstr_{s9}_wants_you_to_re|{s9}希望你能够在接到进一步的指令以前跟着他的部队前进。
qstr__Being_Raided_|（被掠夺中）
qstr__Looted_|（已被洗劫）
qstr__Under_Siege_|（陷入包围）
qstr_The_village_of_{s1}_|{s1}村遭受了{s2}的掠夺。
qstr_{s3}_is_no_longer_un|{s3}不再陷入包围了。
qstr_Small_bands_of_enemi|在{s1}附近发现小队敌军。
qstr_Enemy_patrols_have_b|在{s1}附近发现敌军巡逻队。
qstr_A_medium_sized_group|在{s1}附近发现中等规模的敌军。
qstr_A_significant_group_|在{s1}附近发现敌军集团。
qstr_An_army_of_enemies_h|在{s1}附近发现一支敌军。
qstr_A_large_army_of_enem|在{s1}附近发现大规模敌军。
qstr_A_great_host_of_enem|在{s1}附近发现大群敌军。
qstr_{s1}_has_been_besieg|{s3}的{s2}包围了{s1} 。
qstr__{s1}__{s11}:_{s14}|（{s1} ）{s11} ：{s14}
qstr_{s14}__{s21}_|{s14}（{s21} ）
qstr_Feast_concludes|宴会结束
qstr_{s1}_is_the_new_mars|{s1}成了{s2}的新元帅。
qstr_You_gain_{reg12}_ren|你得到{reg12}声望。
qstr_You_lose_{reg12}_ren|你失去了{reg12}点声望。
qstr_Your_relation_with_{|你与{s1}的关系提升了。
qstr_Your_relation_with_{s|你与{s1}的关系恶化了。
qstr_You_have_angered_the|你激怒了他们
qstr_You_have_appeased_th|你安抚了他们
qstr_You_gain_reputation.|你得到荣誉
qstr_You_lose_reputation.|你失去荣誉
qstr_Now_your_reputation_|现在你有{reg1}荣誉。
qstr_The_{s1}_has_declare|{s1}对{s2}宣战。
qstr_The_{s15}_complies_w|{s15}为遵守与{s17}的盟约，对{s16}宣战。
qstr_The_{s1}_and_the_{s2|{s1}已与{s2}议和。
qstr_{s2}_{reg3?was:is_cu|{s2}{reg3?曾:正}在{s3} 。
qstr_{s2}_{reg3?was:is}_t|{s2}{reg3?已经:正在}赶去{s3} ，而{reg4?她:他}{reg3?之前:也许}在{s4}{reg3?:附近} 。
qstr_{s2}_{reg3?was:is}_i|{s2}{reg3?:正}在野外某地，而{reg4?她:他}{reg3?之前:也许}在{s3}{reg3?:附近} 。
qstr_{s2}_{reg3?was:is}_b|{s2}{reg3?曾:正}被囚禁在{s3} 。
qstr_{s2}_{reg3?was:has_b|{s2}{reg3?已:已经}被{reg4?她的:他的}敌人俘虏。
qstr_I_don_t_know_where_{|我不知道{s2}在哪里。
qstr_{s2}_is_attacking_th|{s2}正在攻击撒克逊人。
qstr_{s2}_is_defending_th|{s2}正在保卫拉格纳之子的国度。
qstr_You_now_owe_{reg2}_p|你现在欠{s1}{reg2} 先令。
qstr_Royal_guardian|皇家卫士
qstr_You_stand_to_gain_{r|如果你赢得战斗，你将得到{reg8}声望
qstr_You_have_run_into_a_|你陷入了圈套之中！
qstr_You_are_attacked_by_|你被一群强盗打劫了！
qstr_Following|随行中
qstr_Holding|坚守中
qstr_Charging|冲锋中
qstr_Advancing|前进中
qstr_Falling_Back|后退中
qstr_Standing_Closer|聚拢中
qstr_Spreading_Out|散开中
qstr_Standing|站立中
qstr_Retreating|撤退中
qstr_N/A|无效
qstr_Free|自由行动中
qstr_Any_Weapon|任意武器
qstr_Blunt_Weapons|钝击武器
qstr_Given_by:_{s62}|给予人：{s62}
qstr_Given_on:_{s60}|开始于：{s60}
qstr_This_quest_has_been_|任务已经完成，把消息告诉{s59}
qstr_This_quest_has_been_c|这个任务已经结束
qstr_This_quest_has_been_s|任务已经成功完成，回去告知{s59}。
qstr_This_quest_has_been_su|任务已经成功完成。
qstr_This_quest_has_faile|你没能成功完成任务，跟{s59}解释一下吧。
qstr_This_quest_has_failed|任务失败。
qstr_At_the_time_quest_wa|接受任务时：^{s1}
qstr_The_{s5}_has_a_stren|{s5}总共有{reg1}个士兵。
qstr_According_to_the_las|上一次你见到{reg1?她:他} ，{s1}
qstr_According_to_the_last|上一次你听说到{reg1?她:他} ，{s1}
qstr_The_current_garrison|这个要塞有{reg5}人驻守，还能支撑{reg6}天。
qstr_Very_Poor|非常贫穷
qstr_Poor|贫穷
qstr_Average|一般
qstr_Rich|富有
qstr_Very_Rich|非常富有
qstr_Mead_Hall|蜜酒厅
qstr_A_manor_lets_you_res|有了庄园，你就可以在村子中休息，而且在此期间你只用付相当于平时一半的工资给你的部队。
qstr_Mill|磨坊
qstr_A_mill_increases_vil|有了磨坊，就可以使村子的繁荣度提升5% 。
qstr_Watchtower|瞭望塔
qstr_A_watchtower_lets_th|有了瞭望塔，就可以使村民更早的发出警报，并延长敌人掠夺这村子的时间50% 。
qstr_School|学校
qstr_A_school_increases_t|有了学校，就可以使村民对你的忠诚度每月提升1点。
qstr_Messenger_Post|驿站
qstr_A_messenger_post_let|有了驿站，就可以使村民在村子旁发现敌军时向你汇报，不论你离村子有多远。
qstr_Prison_Tower|哨塔
qstr_A_prison_tower_reduc|监狱能降低俘虏成功逃跑的几率。
qstr_Christian_Monastery|基督教修道院
qstr_A_monastery_promotes|基督教修士传播基督教义
qstr_Temple_to_god_Odin|奥丁神的神庙
qstr_A_temple_promotes_pa|传播多神教习俗的神庙
qstr_Christian_Church|基督教堂
qstr_A_church_promotes_Ch|传播基督教义的神庙
qstr_Shrine_to_Norse_Gods|北欧神的神殿
qstr_A_shrine_promotes_pa|传播多神教习俗的神庙
qstr_Blacksmith|铁匠
qstr_A_blacksmith_manufac|铁匠制造并出售武器
qstr_Merchants__Rest_Hall|商人的休息室
qstr_A_rest_hall_supports|商人的休息室：增加商人数量，推动商业繁荣
qstr_Scriptorium|缮写室
qstr_A_scriptorium_increa|缮写室可提高你作为学术赞助人的名声
qstr_Slave_Market|奴隶市场
qstr_A_slave_market_incre|奴隶市场能增加港口城市的繁荣和关税，但会减少了你的荣誉。
qstr_Brewery|啤酒厂
qstr_A_brewery_increases_|啤酒厂能增加城堡的繁荣和忠诚度
qstr_The_prosperity_of_{s|{s2}的繁荣度已由{s3}变至{s4}
qstr_{s4}_looks_upset.|{s4}看起来很失落。
qstr_your_party|你的部队
qstr_{reg0?One_of_your_pr|{reg0?你的囚犯之一，:}{s3}的{s1}逃跑了！
qstr_You_have_delivered_{|你已经把{reg3}头牛送到了{s1}手中。
qstr_I_hear_that_there_wi|我听说在{s62}将会举办一场竞技大会。
qstr_I_heard_that_one_can|我听说{s62}在{s63}卖得很便宜。
qstr_I_heard_that_they_pa|我听说{s62}在{s63}卖的很贵。
qstr_I_heard_that_the_Dan|我听说丹麦人要在明年春天之前征服西撒克逊。
qstr_Currently_the_most_r|大概是由于这次入侵，近来有首歌在吟游诗人之中风行，这首歌讲的是格温特国王卡德沃隆和麦西亚国王潘达入侵诺森布里亚的故事，他们深入古老的迪拉王国的心脏地带。埃德温国王召集士兵，与南方的敌人决一死战。两军在赫夫兰相遇，战场上血流漂杵，尸横遍野，战士遗骸的惨状令人终生难忘。
qstr_I_heard_the_Pope_in_|我听说罗马教皇将传教士派到丹麦人那里去了！
qstr_Ragnar_s_sons_are_th|拉格纳之子是世上最危险的人物。我听说他们冷酷无情，没有人敢正视他们。
qstr_I_think_the_wife_of_|我觉得我朋友的妻子跟一个吟游诗人私通，他们合起伙来骗我朋友。
qstr_I_hate_bandits!_Some|我憎恶土匪！怎么没有人把他们杀个精光！
qstr_I_would_like_to_know|我想知道罗马时代是怎么一回事。
qstr_Many_of_the_nobles_o|年轻的海德公主令不列颠的许多贵族瞠目结舌。她真是美若天仙。但可惜的是，她竟然想遁入教门！
qstr_A_traveller_told_me_|一个旅行者告诉我，法兰克为正为了进攻弗里斯而招兵买马。
qstr_The_Danish_have_brou|丹麦人几乎把各种各样的外国人都带来了。看起来全世界的人都来到了古老的不列颠。
qstr_West_Seaxe_was_never|西撒克逊从未如今日这般强盛。他们的国王自然被视为不列颠的统治者。
qstr_I_wish_the_world_wer|我希望世道太平些。现在几乎没人可以活到老年。
qstr_I_ve_been_told_the_a|我听说乌内尔正在秣兵历马，养精蓄锐。他们将无敌于爱尔兰！
qstr_two_days_ago|两天之前
qstr_{s24}_increased_reno|{s24} 在{s25} 参加了宴会并因此提高了声望
qstr_You_asked_me_to_come|你命令我在{s33} 与你见面。所以我在这里等待你的出现。
qstr_You_asked_me_to_come_|你命令我来{s33} 附近巡逻。所以我在这里找寻敌人的踪迹。
qstr_Marshal_has_chosen_{|元帅选定{s13} 去征收士兵。
qstr_Marshal_Levying_Troo|元帅征收士兵
qstr_The_marshal_is_levyi|元帅正从你的{s10}领地征收{reg0}兵士。
qstr_{s35}_of_the_{s34}|{s34} 的{s35}
qstr_{s37}_of_the_{s36}|{s36} 的{s37}
qstr_The_brewery_in_{s1}_|{s1}的啤酒厂促进了经济繁荣。
qstr_You_gain_right_to_ru|你获得统治权。
qstr_You_lose_right_to_ru|你失去统治权。
qstr_Content_update_appli|新的内容已经保存到存档里面。
qstr_{s1}_has_entered_tra|{s1} 大发雷霆！
qstr_{s1}_has_become_unco|{s1} 变得无法控制！
qstr_{s1}_is_getting_exha|{s1} 在大发雷霆之后精疲力竭。
qstr_{s1}_back_to_normal!|{s1} 回复到普通！
qstr_Manage_this_village.|管理这个村庄。
qstr_Recruit_volunteers.|招募志愿者。
qstr_Go_to_the_village_ce|前往村庄。
qstr_Meet_the_leader.|与领导者会面。
qstr_Buy_supplies.|购买补给品。
qstr_Attack_the_bandits.|攻击强盗。
qstr_Wait_here_for_some_t|在这里呆一段时间。
qstr_{reg5?Continue_colle|{reg5?继续收税:收税} 。
qstr_Train_the_peasants.|训练农民。
qstr_Take_an_action.|采取行动。
qstr_Leave...|离开……
qstr_You_need_to_obtain_p|你需要获得村庄长老的许可才能在此招募。
qstr___Symbel_| (宴会)
qstr_Join_the_competition|参加比赛。
qstr_Stroll_through_town.|城里逛逛。
qstr_Meet_the_mayor.|与镇长会面。
qstr_Mead_hall__hire_men_|去蜜酒厅(招募士兵) 。
qstr_Visit_the_mead_hall.|去蜜酒厅。
qstr_Visit_the_training_g|去竞技场。
qstr_Tour_the_grounds.|四处逛逛。
qstr_Visit_your_farmstead|参观你的工厂。
qstr_Attempt_to_visit_a_l|试图拜访一位女士。
qstr_Trade_with_locals.|与当地商人交易。
qstr_Travel_to_another_Po|出发去其他港口。
qstr_Manage_this_{reg0?to|管理这个{reg0?城镇:城堡} 。
qstr_Move_your_court_here|迁都到此。
qstr_Manage_the_garrison.|管理驻军。
qstr___{reg1}_peningas_pe|（每晚{reg1} 先令）
qstr___1_pening_per_night| (每晚1先令)
qstr_Ask_for_potential_re|征召新兵。
qstr_See_the_ships.|查看船只。
qstr_Symbel_for_your_men.|为你的人举行宴会。
qstr_Sail_from_port.|从港口出航。
qstr_ranks|长蛇阵
qstr_shield_wall|盾墙阵
qstr_wedge|楔形阵
qstr_square|方形阵
qstr_up|上
qstr_Division_{reg1}_{s2}|队列{reg1} 的{s2}组成了{s1} 。
qstr_Not_enough_troops_in|队列{reg1} 的{s2}没有足够士兵组成{s1} 。
qstr_Division_{reg1}_{s2}_|队列{reg1} 的{s2}是{s3} 的一个部分，不能用来组成{s1} 。
qstr_{s1}:_infantry_forma|{s1} ：步兵阵型拆散。
qstr_{s1}:_archer_formati|{s1} ：弓箭手阵型拆散。
qstr_{s1}:_skirmisher_for|{s1} ：散兵阵型拆散。
qstr_{s1}:_cavalry_format|{s1} ：骑兵阵型拆散。
qstr_{s1}:_formation_disa|{s1} ：阵型拆散。
qstr_Cavalry_formation_di|骑兵阵型拆散。
qstr_The_placement_of_{s1|{s1} 队列的设置{reg0} 已保存。
qstr_The_placement_of_{s1}|{s1} 队列的设置{reg0} 已撤消。
qstr_Your_party_s_tactica|你的部队战术还无法组织你的部队！
qstr_...and_attack_enemy_|……并且进攻敌人的{s1}队列！
qstr_{s2}:_returning_afte|{s2} ：在消灭敌人的{s1}队列后回来。
qstr_infantry|步兵
qstr_archer|射手
qstr_cavalry|骑兵
qstr_polearm|长枪兵
qstr_skirmisher|散兵
qstr_mounted_archer|骑射手
qstr_support|后援
qstr_bodyguard|保镖
qstr_undetermined_type_of|未定型
qstr_Lame|瘸腿
qstr_Swaybacked|老
qstr_Timid|胆小的
qstr_Meek|温顺的
qstr_Stubborn|倔犟的
qstr_Heavy|重
qstr_Spirited|活泼的
qstr_Champion|冠军
qstr_Cracked|裂开的
qstr_Battered|有凹陷的
qstr_Thick|厚
qstr_Reinforced|加强
qstr_Rusty|生锈的
qstr_Tattered|破烂的
qstr_Ragged|破旧的
qstr_Crude|简陋的
qstr_Sturdy|坚固的
qstr_Hardened|加硬
qstr_Lordly|豪华的
qstr_Broken|破裂的
qstr_Bent|弯曲的
qstr_Chipped|有缺口的
qstr_Strong|强壮
qstr_Balanced|平衡的
qstr_Tempered|回火的
qstr_Masterwork|极品
qstr_Large_Bag_of|一大袋
qstr_Strength.|力量
qstr_Shield_skill.|盾防技能
qstr_Power_Throw_skill.|强掷技能
qstr_Power_Draw_skill.|强击技能
qstr_Riding_skill.|骑术技能
qstr_{s2}_needs_{reg1}_mo|{s2} 还需要额外的{reg1} 单位的{s1}
qstr_You_need_five_tool_k|你还需要5单位的工具来建造避难所！
qstr_You_need_five_timber|你还需要5单位的木料来建造避难所！
qstr_To_hire_workers_you_|为了招募人手，你有以下选择（如果没有任何选择，你需要增加你的声望或者升级避难所来容纳他们）：
qstr_Name:_Marcus.|姓名：马库斯。
qstr_Occupation:_This_cap|这个队长已经正在服役。
qstr_Occupation:_Captain^|职业：队长^起始费用：500^每周开销：55^备注：他能帮助你管理避难所并提供避难所的升级。
qstr_Name:_Father_Beda.|姓名：贝达神父
qstr_Occupation:_This_pri|这个牧师已经正在服役。
qstr_Occupation:_Priest^I|职业：基督教神父^起始费用：250^每周开销：30^备注：他能让你的基督士兵们士气大振。
qstr_Name:_Godi_Olafr.|名字：奥拉夫祭司
qstr_Occupation:_Godi^Ini|职业：多神教祭司^起始费用：250^每周开销：30^备注：鼓励你的士兵讨伐异教徒。
qstr_Name:_Skald_Bragi.|名字：诗人布拉吉。
qstr_Occupation:_This_bar|职业：这名诗人已为你所用。
qstr_Occupation:_Skald^In|职业：吟游诗人^起始费用：200^每周开销：40^备注：在你的大厅内传唱激昂的北欧音乐。
qstr_Name:_Bard_Siwi.|名字：诗人斯维。
qstr_Occupation:_Bard^Ini|职业：诗人^起始费用：200^每周开销：40^备注：在你的大厅内传唱激昂的英格兰音乐。
qstr_Name:_Casius.|名字：凯亚斯。
qstr_Occupation:_This_man|职业：这个人已为你所用。
qstr_Occupation:_Bottler^|职业：侍酒人^起始费用：100每周开销：10^备注：他在你的蜜酒厅里面是必不可少的成员。
qstr_Name:_Suaibsech.|名字：苏埃塞。
qstr_Occupation:_This_wom|职业：这个女人已为你所用。
qstr_Occupation:_Happy_Wi|职业：浪荡的寡妇^起始费用：300^每周开销：25^备注：让你的人开心的最佳方式。
qstr_Name:_Tancoystl.|名字：坦柯斯提。
qstr_Name:_Gulla.|名字：古拉。
qstr_Occupation:_Happy_Wid|职业：浪荡的寡妇^起始费用：150^每周开销：15^备注：让你的人开心的最佳方式。
qstr_Name:_Eadgyd.|名字：艾德济。
qstr_Name:_Harald.|名字：哈拉尔德。
qstr_Occupation:_This_tra|职业：这名教官已为你所用。
