str_yes|是
str_surrender_demand_pitiless|你赢不了我的，你如果想试试的话，我会好好教训你一顿。投降吧！
str_surrender_demand_cunning|你今天输定了。放弃吧，不为自己着想，也得为你的部下着想吧！
str_surrender_demand_sadistic|投降！不然我会把你当鱼一样挖出你的内脏！
str_surrender_demand_goodnatured|我军有绝对优势。投降吧，我们优待俘虏。
str_surrender_demand_upstanding|你可以和我们死拼，但是你的许多部下都将被杀死，你也会战败。投降，尽量避免我们双方不必要的流血牺牲吧。
str_surrender_offer_default|停！我投降！
str_surrender_offer_martial|停！我投降！
str_surrender_offer_quarrelsome|够了！今天你赢了，混蛋！啊，多么耻辱啊！
str_surrender_offer_pitiless|我投降！你赢了。今天见鬼了！
str_surrender_offer_cunning|我投降！我向你投降！
str_surrender_offer_sadistic|我投降！我投降！叫你的走狗停手吧！
str_surrender_offer_goodnatured|我投降！祝贺您的胜利，{reg59?女士:先生} ！
str_surrender_offer_upstanding|我投降！保证我军人的荣誉，也请你遵守信用！
str_lord_declines_negotiation_offer_default|也许吧，不过我想跟你打
str_lord_declines_negotiation_offer_martial|也许吧，不过我有义务跟你打一仗
str_lord_declines_negotiation_offer_quarrelsome|嘿！我要和你打
str_lord_declines_negotiation_offer_pitiless|我何必关心这个呢？我想跟你打
str_lord_declines_negotiation_offer_cunning|哈，真不幸，你知道吗，我想跟你打
str_lord_declines_negotiation_offer_sadistic|收好你的舌头！很快你就会需要用到它的，当你求饶的时候
str_lord_declines_negotiation_offer_goodnatured|不好意思——我可不能让你就这么离开。你不会见怪吧？
str_lord_declines_negotiation_offer_upstanding|也许吧，不过出于对国王的义务，我必须和你打
str_prisoner_released_default|我无比感激，{reg59?女士:先生} 。我不会忘记您的仁慈。
str_prisoner_released_martial|你确实是一名正直的{reg59?女人:男人} ，{reg59?女士:先生} 。我不会忘记您的恩情！
str_prisoner_released_quarrelsome|我自由了？呃……那，再见吧。
str_prisoner_released_pitiless|谢谢你。当你最终被打败的时候，我就让你死得痛快一些。除非……除非你愿意加入我们……再见了。
str_prisoner_released_cunning|我吗？你是一个善良的{reg59?女人:男人} 。我以后会想个方法报答你的。
str_prisoner_released_sadistic|我？你的残酷表现得多优雅啊，宁愿看到我自由并受到羞辱，也不愿看到我关在枷锁里。你就自己耀武扬威吧！
str_prisoner_released_goodnatured|你确实是一名正直的{reg59?女人:男人} ，{reg59?女士:先生} 。我不会忘记您的恩情！
str_prisoner_released_upstanding|你确实是一名正直的{reg59?女人:男人} ，{reg59?女士:先生} 。我不会忘记您的恩情！
str_enemy_meet_default|敢跟我较量，你是谁啊？
str_enemy_meet_martial|请问怎么称呼你，{reg59?女士:先生} ？如果我们必须交战，我希望知道对手是谁。
str_enemy_meet_quarrelsome|你他妈的是谁？
str_enemy_meet_pitiless|你是谁？快说，好让我知道我杀的是谁。
str_enemy_meet_cunning|告诉我你的名字。了解敌人的名字总是有好处的。
str_enemy_meet_sadistic|你是谁？趁我还没有割掉你的舌头之前快点说。
str_enemy_meet_goodnatured|你叫什么名字{reg59?女士:先生} ？如果我们开战了，我要知道我是和谁在打仗。
str_enemy_meet_upstanding|你是谁？我想知道是谁想用武力阻止我们正义的事业。
str_battle_won_default|今天，你证明了你自己是一个可靠的盟友。
str_battle_won_martial|没有什么比在战场上展现个人的勇武更加有成就感！
str_battle_won_quarrelsome|啊哈，我们好好教训了这些混蛋了，是吧？
str_battle_won_pitiless|我们只要联合起来，就能让敌人闻风丧胆！
str_battle_won_cunning|现在，我们得保持我们的优势，那样我们今天的鲜血就不算白流。
str_battle_won_sadistic|现在让我们剥光这些尸体丢去喂乌鸦，好让他们知道对抗我们的人将会是什么下场。
str_battle_won_goodnatured|这一仗打得不错！没有什么比打了胜仗更加令人高兴，是吧？
str_battle_won_upstanding|现在，让我们感谢上帝让我们获胜，同时让我们也沉痛悼念那些今天在战场上牺牲的战友。
str_battle_won_grudging_default|今天，你在战场上帮忙扭转了局势。不管我怎么样看你，不过你的勇武是无可挑剔的。
str_battle_won_grudging_martial|{playername} ，不管你以前做得怎样，但是今天你证明了你是一个有价值的人。
str_battle_won_grudging_quarrelsome|哼，我通常都不想看到你的那张脸，但是我今天还是得感谢你的帮忙。
str_battle_won_grudging_pitiless|你今天的帮忙很受用。我完全没有想到你会这么好心地来帮我，但是我还是得谢谢你。
str_battle_won_grudging_cunning|你在我最需要帮忙的时候来帮了我，如果我不感谢你，我就显的太不厚道了。所以……我很感激你。
str_battle_won_grudging_sadistic|啊！多么令人感动啊！{playername}居然来救我了。
str_battle_won_grudging_goodnatured|{playername} ！我不想说过去我们相处得如何，但是你今天在战场上的表现不错。非常感谢你！
str_battle_won_grudging_upstanding|也许过去我对你有些误解。你的到来非常及时。我很感激你。
str_battle_won_unfriendly_default|你来了。好吧，我认为晚点来总比不来的好。
str_battle_won_unfriendly_martial|我以前对你说了很多难听且尖锐的话，但是现在，就让我们享受胜利的喜悦吧。
str_battle_won_unfriendly_quarrelsome|如果你站在这里想等我来感谢你，你可以继续等下去。我们根本不需要你的帮忙，但是我想比起这个你也没有什么别的事情好做了，是吧？
str_battle_won_unfriendly_pitiless|你到这里来就像是一头豺狼来抢狮子的口食。很好，你自己拿吧，我不会阻止你的。
str_battle_won_unfriendly_cunning|{playername}……虽然我不打算装出一副我很喜欢见到你的样子，但是我认为你的到来没有危害。
str_battle_won_unfriendly_sadistic|滚开，吃腐肉的禽兽！这是我个人的胜利，你竟然想窃取我的胜利果实。
str_battle_won_unfriendly_goodnatured|哦，是你啊。好吧，我认为我应该感谢你的帮助。
str_battle_won_unfriendly_upstanding|谢谢你过来帮忙。现在在我要说出一些会令我后悔的话之前，我得离开了。
str_troop_train_request_default|我需要像你这样的人把他们训练得像个样子。
str_troop_train_request_martial|他们需要有人向他们展示一下勇猛的含义。
str_troop_train_request_quarrelsome|又肥又懒的杂种。他们让我想吐。
str_troop_train_request_pitiless|他们怕敌人胜过怕我，但以后不会这样。
str_troop_train_request_cunning|但是人就像剑一样，经过火的锻炼才能变得坚强起来。
str_troop_train_request_sadistic|他们需要有人拿着铁鞭在他们背后抽打以激起他们的勇气，或者扼杀他们的努力。
str_troop_train_request_goodnatured|他们是不错的小伙子，但是我认为现在让他们上战场好像太早了。
str_troop_train_request_upstanding|以他们现在的状况带领他们去打仗的话，等于是要我谋杀他们。
str_unprovoked_attack_default|什么？为什么你要攻击我们？快讲，你这个混蛋！
str_unprovoked_attack_martial|我不反对使用武力解决问题，但是我要问你为什么攻击我们？
str_unprovoked_attack_quarrelsome|你犯了一个大错误，{reg59?小姑娘:小伙子} 。你知道你在干什么吗？
str_unprovoked_attack_pitiless|是吗？如果你今天想死的话，我将很高兴成全你。但是我很想了解你到底有何目的。
str_unprovoked_attack_cunning|真的吗？我认为你的做法很不明智。你想从中得到什么呢？
str_unprovoked_attack_sadistic|你在干什么？你喜欢你的眼睛被挖出来吗？
str_unprovoked_attack_goodnatured|为什么你要这么做？我们似乎没有仇啊，{reg59?女士:先生} 。
str_unprovoked_attack_upstanding|我认为这是一个无故的袭击，我要向你的国王抗议。你为什么要这么做？
str_unnecessary_attack_default|不是时间紧的话，我将毫不犹豫地砍翻你，但是我给你机会，你现在就从这里消失。
str_unnecessary_attack_martial|我非常渴望接受你的挑战，{reg59?女士:先生} ，然而我还是要给你一分钟的时候考虑一下。
str_unnecessary_attack_quarrelsome|呸！今天我没有心情跟你胡闹，滚开。
str_unnecessary_attack_pitiless|我今天心情很好，我就装做没有听见你说的话。
str_unnecessary_attack_cunning|我没有看出你与我为敌能得到什么好处。也许你应该骑着马从我面前走开。
str_unnecessary_attack_sadistic|我不想把时间浪费到你这样的鼠辈上，滚开。
str_unnecessary_attack_goodnatured|我没有看出你挑起战争能得到什么好处，{reg59?女士:先生} ，你还是走开吧。
str_unnecessary_attack_upstanding|如果你想打的话，{reg59?女士:先生} ，那我就成全你，但我还是给你打消这个念头的机会。
str_lord_challenged_default|如你所愿，准备去死吧！
str_lord_challenged_martial|好吧，准备自卫吧！
str_lord_challenged_quarrelsome|你，放肆的家伙！我要你将你碎尸万段！
str_lord_challenged_pitiless|如果你一心要找死的话，那我也只能成全你。
str_lord_challenged_cunning|好吧，如果你不给我机会……
str_lord_challenged_sadistic|你这个肮脏的家伙！我会让你希望自己没有出生在这个世界上。
str_lord_challenged_goodnatured|很好。我本希望我们可以避免战斗，但是我明白那是不可能的了。
str_lord_challenged_upstanding|就这样吧。你不去了解原因令我感到悲哀。
str_lord_mission_failed_default|好吧，我很失望，但是我确信你以后会有很多机会去弥补你的过失。
str_lord_mission_failed_martial|试图为你的任务失败找理由是不光荣的，但我还是接受你所说的。
str_lord_mission_failed_quarrelsome|你失败了？呸！我早就该猜到会是这样的。
str_lord_mission_failed_pitiless|你失败了？好吧，你令我感到很失望。你做事太欠考虑了。
str_lord_mission_failed_cunning|好吧，我很失望，但是没有人能保证总是顺风顺水的。
str_lord_mission_failed_sadistic|真的吗？那些令我失望的人，我通常都不会让他们活着为此事后悔的。
str_lord_mission_failed_goodnatured|哦，好吧。不管怎么说，那件事成功的希望不大。谢谢你付出的努力。
str_lord_mission_failed_upstanding|很好，我确信你已经尽全力了。
str_lord_follow_refusal_default|跟着你？你忘记自己的地位了吧，{reg59?女士:先生} 。
str_lord_follow_refusal_martial|也许有一天你能成为一个勇敢且值得尊敬的战士，那时候我将跟随你。但是不是今天。
str_lord_follow_refusal_quarrelsome|跟随像你这样的人？我可不想这么做。
str_lord_follow_refusal_pitiless|领主们都不希望我跟随像你这样的人，{reg59?女士:先生} 。
str_lord_follow_refusal_cunning|请先证明你将不会把我引向灭亡，然后我会考虑是否跟随你。
str_lord_follow_refusal_sadistic|我可不这么想！不如你跟着我吧，就像一条被调教过的恶狗跟着主人。
str_lord_follow_refusal_goodnatured|呃，我现在正好有任务在身。以后再说吧。
str_lord_follow_refusal_upstanding|你得先证明你是个好的领导者，然后我才会跟着你。
str_lord_insult_default|低级混混
str_lord_insult_martial|不光彩的流氓
str_lord_insult_quarrelsome|道德败坏的杂种
str_lord_insult_pitiless|出身低微的小人物
str_lord_insult_cunning|粗心的白痴
str_lord_insult_sadistic|流鼻涕的坏蛋
str_lord_insult_goodnatured|讨厌的家伙
str_lord_insult_upstanding|可耻的恶棍
str_lord_derogatory_default|卑鄙恶劣的
str_lord_derogatory_martial|顽固任性的
str_lord_derogatory_quarrelsome|好辩，喜欢挑拨离间的
str_lord_derogatory_pitiless|残忍暴虐的
str_lord_derogatory_cunning|不择手段，善于权谋的
str_lord_derogatory_sadistic|无耻下作的
str_lord_derogatory_goodnatured|无可救药的天真
str_lord_derogatory_upstanding|冥顽不灵，道貌岸然的
str_lord_derogatory_result|带来毁灭的
str_lord_derogatory_martial_action|鲁莽无谋，轻掷士卒性命
str_lord_derogatory_quarrelsome_action|挑衅同僚，孤家寡人
str_lord_derogatory_pitiles_action|轻慢百姓士卒，激起民乱哗变
str_lord_derogatory_cunning_action|私通敌寇
str_lord_derogatory_sadistic_action|让王国与大业蒙羞
str_lord_derogatory_goodnatured_action|妇人之仁，畏敌惧战
str_lord_derogatory_upstanding_action|将个人过分的荣誉感置于王国的需要之上
str_rebellion_dilemma_martial|{s45}显然搞错了。虽然我向{s46}宣誓，但如果他的王位是篡夺而来的话，这并不能约束我一定得帮助他。
str_rebellion_dilemma_quarrelsome|嗯。{s46}从来没有给我我应得的东西，所以我并不认为我欠他很多。无论如何，也许{s45}不是更好，而{s46}至少人们都知道。
str_rebellion_dilemma_pitiless|嗯。{s45}说他是真正的王位继承人。这很好——这让我对{s46}不再忠诚。但我还是得仔细掂量我的决定。
str_rebellion_dilemma_cunning|嗯。我向{s46}宣誓效忠，对于我们这些普通人来说，那样的誓言并没有什么力量。我们的责任是用我们自己的才能管理，不折不扣执行命令，以及防止所有可能的战争
str_rebellion_dilemma_sadistic|嗯。在这个坏透了的世界，一个贤人必须要为他自己考虑，就和其他人一样。那么——从这里面我能得到什么？
str_rebellion_dilemma_goodnatured|我不知道该说什么。我向{s46}宣誓认可他为法定的统治者，但如果他不是法定的统治者，我不知道我是否还受誓言的限制。
str_rebellion_dilemma_upstanding|很麻烦。宣布我对{s46}的效忠无效且没用是件很严重的事情，而解除联盟会让我们的领地从没落成为无政府状态。我还是保证会支持继承的合法，而{s45}依然对王位拥有有效的主张。
str_rebellion_dilemma_2_martial|另一方面，{s46}曾经领导着我们，而我讨厌背信弃义。
str_rebellion_dilemma_2_quarrelsome|那么告诉我，我为什么要对我所认识的{reg3?人:那杂种}倒戈，让我所不认识的{reg3?人:那杂种}获利？
str_rebellion_dilemma_2_pitiless|被询问我将立谁为这片领土的{reg3?统治者:国王} ，会让我处于一种非常危险的境地。然而那也将成为大好的时机，对我来说获取回报也是我的权益！
str_rebellion_dilemma_2_cunning|{s46}已被质疑，因此他将不能像那些统治权没有被质疑的人那样政权稳定。然而如果{s45}用武力取得王位，{reg3?她:他}将不会像那些和平取得王位的人那样政权稳定。
str_rebellion_dilemma_2_sadistic|如果我在{reg3?她:他}还暗弱的时候加入{s45} ，{reg3?她:他}将让我发一笔，但如果我把你的人头带给{s46}他将给我更多的回报。
str_rebellion_dilemma_2_goodnatured|{s46}待我不薄，然而他的确对{s45}做的不对。我在犹豫断绝我对{s46}的效忠，然而我还是不认为支持非正义的一方是正确的。
str_rebellion_dilemma_2_upstanding|我觉得我必须为了领地尽力做任何事情，来避免它因为内战而被敌人掠夺并且荒废掉。
str_political_philosophy_martial|我的剑只为合法的国王而挥，前提是他保证尽到对我的义务。
str_political_philosophy_quarrelsome|呸，他们是一群混蛋。我会让干我坏事的人觉得后悔的。
str_political_philosophy_pitiless|人们总是试图骗取别人应得的东西。在这个毫无诚信可言的世界上，每个人都要警惕的看管好属于自己的权利。
str_political_philosophy_cunning|好吧，这个世界是残酷的，面对残酷的选择是我们的宿命。有时候一个人需要侍奉暴君以维护和平，而有时候一点儿必要的叛乱才能让君王保持公正。总之，时势就是一切。
str_political_philosophy_sadistic|我的哲学很简单：做狼好过做羊。
str_political_philosophy_goodnatured|好吧，你必须用承诺来坚定信仰，并且避免待人不公。有时候，要想平衡各方确实很难。我觉得，跟你信任的人站在一边，这就不至于错得太离谱。
str_political_philosophy_upstanding|国王和贵族的权力应该被用来维护和平，避免所有人相互对抗，然而又不能蒙蔽人民，让他们看不到不公正的地方。
str_political_philosophy_roguish|嗯……我觉得当个领主应该还不错吧。
str_political_philosophy_benefactor|一个好的统治者，懂得对所有臣民都公正无私。就个人来说，我打算用我的权力，让生活在我的领地里的人们过得更好。
str_political_philosophy_custodian|一个好的统治者懂得创造条件，让城市繁荣发展，人民安居乐业。就个人来说，我打算用我的财富去创造更多的财富，既为我自己，也为公共的利益。
str_rebellion_prior_argument_very_favorable|我已经听到了一些支持你的候选人获得王位的意见，而我有意倾向这些意见。
str_rebellion_prior_argument_favorable|我已经听到了一些支持你的候选人获得王位的意见，而我有意倾向这些意见。
str_rebellion_prior_argument_unfavorable|我已经听到了一些支持你的候选人获得王位的意见，而我并不认可这些意见。
str_rebellion_prior_argument_very_unfavorable|我已经听到了一些支持你的候选人获得王位的意见，但是我不同意其中大部分的意见。
str_rebellion_rival_martial|{s49}你的盟友{s44}曾经怀疑我的荣耀与勇气。我好不容易得到了在战场上和他面对面的机会，并让他收回他说的话。
str_rebellion_rival_quarrelsome|{s49}你在帮{s44}工作。他是个狡猾的狐狸，我一点也不相信他。
str_rebellion_rival_pitiless|{s49}你似乎在谋求{s44}的帮助——那个人很软弱，并且一点也不适合统治封地，而且我一直很讨厌那个人。
str_rebellion_rival_cunning|{s49}{s44} ，那个人已经加入了你，是个既不听命令又爱吵架，而且没有责任心的人。
str_rebellion_rival_sadistic|{s49}我不想和你的盟友{s44}一起作战，那个人的道德表现令人恶心。
str_rebellion_rival_goodnatured|{s49}我不想勉强和{s44}在同一方，那个人有点残忍的名声。
str_rebellion_rival_upstanding|{s49}你的盟友{s44}在我看来是个危险，不可靠，而且非常不道德的人。
str_rebellion_argument_favorable|我尊重你的一系列意见
str_rebellion_argument_neutral|我发现你的一系列意见不是很吸引人
str_rebellion_argument_unfavorable|我没有觉得你的一系列意见吸引人
str_rebellion_persuasion_favorable|你的陈述有说服力
str_rebellion_persuasion_neutral|你的陈述有道理
str_rebellion_persuasion_unfavorable|你的陈述不令人相信
str_rebellion_relation_very_favorable|我对你本人极为敬重。
str_rebellion_relation_favorable|我了解并且敬重你本人。
str_rebellion_relation_neutral|我不了解也不想了解你。
str_rebellion_relation_unfavorable|我不信任你。
str_and_comma_3|此外，
str_but_comma_3|可是，
str_and_comma_1| ，并且
str_but_comma_1| ，但是
str_and_comma_2| 。而且，
str_but_comma_2| 。虽然如此，
str_rebellion_agree_martial|我已经决定。我要支持{s45}作为合法的继承人。
str_rebellion_agree_quarrelsome|啊哈，我已经考虑了很久。我不是很喜欢{s46} 。让我们去夺走他的王位。
str_rebellion_agree_pitiless|不。我不会加入你的谋反。我认为那和小孩子发脾气没有区别，拒绝一个{reg3?她:他}认为应该是{reg3?她的:他的}玩具。我将坚持跟着{s46} ，他的统治能力得到过良好证明。
str_rebellion_agree_cunning|对不起。你没有给我相信你会胜利的理由。许多人会死，我可不想那样。我还是会继续支持{s46} 。
str_rebellion_agree_sadistic|不。我不会参与你的小游戏。你想夺取国王的位置，但我想你只会得到一个断头台的位置，而我会站在{s46}的旁边看着刽子手的斧头落下。
str_rebellion_agree_goodnatured|对不起。我不觉得对{s46}倒戈是正确的。不久我们就会在战场上相遇。
str_rebellion_agree_upstanding|对不起。{s45}的主张并不足以让我发动这片领土上可怜的穷人进行全民骚乱。我还是会继续支持{s46} 。就算我做错了上天也会原谅我。
str_rebellion_refuse_martial|对不起。{s45}有一个很好的主张，但这不足以令我对{s46}倒戈。我将依然忠于我的君主。
str_rebellion_refuse_quarrelsome|不。你拥护的{s45}太嫩了，没有能力管理这片领地。我还是紧随{s46} 。
str_rebellion_refuse_pitiless|不。我不会加入你的叛乱。我认为这不过是小孩子为了争夺玩意儿的哭闹。我会站在{s46}一边，其统治的能力已经久经考验了。
str_rebellion_refuse_cunning|抱歉，你没有给我足够的理由证明你能取胜。一将功成万骨枯，而我不想成为其中的死人。我要回到{s46}身边。
str_rebellion_refuse_sadistic|不，我不会耍你的小把戏。你对王位虎视眈眈，但我认为你只是要走上断头台。而我将站在{s46}身边看你人头落地。
str_rebellion_refuse_goodnatured|对不起，我觉得背弃{s46}是不正确的。希望当我们在战场上见面时不会太尴尬。
str_rebellion_refuse_upstanding|抱歉。{s45}的宣称并不足以让我敢于背负挑起战争、涂炭生灵的诅咒。我将回到{s46}身边。假如我的决定是错误的，愿上天宽恕我。
str_talk_later_martial|现在不是谈政治的时候！我今天带着许多追随我的领主来，他们都全副武装准备战斗。你最好做好准备开始作战。
str_talk_later_quarrelsome|你指望现在和我谈背叛我君主的事情，就在这四周都是他的军队的时候？你当我是什么？一个地道的白痴？
str_talk_later_pitiless|闭嘴！现在四周都是我方的军队，此时此地，我怎么会讨论这件事。
str_talk_later_cunning|此时此地完全不适合进行这样一场谈话。也许我们可以过一会或者在其它地方再谈，但现在我们依然是敌人。
str_talk_later_sadistic|你应该闭上你的鸟嘴！你能想像如果其他的封臣听到我们讨论叛国的事情，那个后果有多严重吗？
str_talk_later_goodnatured|你想和我谈叛国的事情是吗？还是等我们未被我君主的军队包围的时候再谈吧，那时候我将听听你要说什么。
str_talk_later_upstanding|不管我对王位更替的合法性怎么看，我也不会在此时此地拿出来讨论。如果我们下次能私下见面的话，我将好好听听你的想法。但是现在，请把我当作是你的敌人。
str_gossip_about_character_default|据说{s6}没什么有趣的个性。
str_gossip_about_character_martial|据说{s6}是个战争狂。
str_gossip_about_character_quarrelsome|据说{s6}很快就要和另一个领主开战，因为那个人拿他的鼻子开玩笑。
str_gossip_about_character_selfrighteous|我听说{s6}处决了一个游侠，只是因为那个可怜的家伙在他的林子里杀死了一头鹿。
str_gossip_about_character_cunning|据说{s6}是个狡猾的对手。
str_gossip_about_character_sadistic|据说{s6}喜欢折磨他的敌人。我可不想和他作对。
str_gossip_about_character_goodnatured|据说{s6}是个好人，很善待他领地上的人民。所作所为比大多数贵族都好。
str_gossip_about_character_upstanding|人们都说替{s6}工作是件不错的事。他对他的属下很好，如果他们干的好还会有回报。
str_latest_rumor|你听到关于{s6}的最近一次传闻是：
str_changed_my_mind_martial|不过，你的滔滔雄辩让我重新考虑了我的立场。
str_changed_my_mind_quarrelsome|可我觉得你的话好歹把我绕进去了，你这混蛋。我听着呢。
str_changed_my_mind_pitiless|可你像这样恳求我，我还是勉为其难，重新考虑下吧。
str_changed_my_mind_cunning|可是你看，你还真是个能说会道的混蛋，让人印象深刻。我听着呢。
str_changed_my_mind_sadistic|可你真是巧舌如簧，替自己吹得天花乱坠的，让我还不能马上拒绝你。
str_changed_my_mind_goodnatured|但是你说得很好，所以我会试着不抱偏见。
str_changed_my_mind_upstanding|不过，你的观点很有道理。我听着呢。
str_swadian_rebellion_pretender_intro|我是索尔吉，来自里伯，我才是丹麦的国王。
str_vaegir_rebellion_pretender_intro|我是顿嘉尔，佛古沙之子，来自希尼恩诺尔，我才是爱尔兰的国王！
str_khergit_rebellion_pretender_intro|我是奥斯怀，一名被流放的诺森布里亚郡长。
str_nord_rebellion_pretender_intro|我是西奥罗，我即将统治西撒克逊。
str_rhodok_rebellion_pretender_intro|我是比利，布鲁德之子，我是阿尔班的下一任国王！
str_sarranid_rebellion_pretender_intro|你好，异乡人，我是卡沃隆。我以格温内德国王最后一名继承者的身份站在你面前。
str_swadian_rebellion_pretender_story_1|当霍里克国王的私生子在异国烧杀抢掠的时候，我的父亲拯救了我们的人民。他不曾考虑过，如果在这片土地不留一兵一卒来守卫，会发生什么事情！只有我的父亲认识到这一点！
str_vaegir_rebellion_pretender_story_1|我已经在三十年前被指定为我父亲王位的继承人了，但在去年那个老不死的竟然决定要换一个年轻人来“享受那种生活”，如果你知道我指的是什么。
str_khergit_rebellion_pretender_story_1|我的国土被丹麦人夷为平地。某一天他们突然从四面八方汹涌而出，沿着我们的海岸线烧杀抢掠，并在我们能够集合人手抵抗之前，他们已经围困了我们的城市。
str_nord_rebellion_pretender_story_1|我的父亲是前任国王的兄弟。他告诉我，我的叔叔已经意识到了他自己的儿子是多么的邪恶，由于他听说了他的儿子如何折磨被擒的村民的可怕故事。但是直到我们现在的国王谋杀了自己的兄长后，他才决心要让这个人得不到王位的继承权。
str_rhodok_rebellion_pretender_story_1|在这十五年来，我不辞劳苦地跑遍了这块土地，与我手下的好小伙们向村民们提供保护，只是为了得到一点儿银子和食物。这一切都是我们应得的。
str_sarranid_rebellion_pretender_story_1|正是我的祖先在哈特菲蔡斯之战中击败了德里亚的爱德温。在那以后，我们被逐出了权力的核心，我的家族直到现在还只能在远离王权的地方苟活。
str_swadian_rebellion_pretender_story_2|当国王带着从冒险中获得的大量银子和奇怪的十字架回归后，他开始怀疑我们和我父亲的忠诚，认为是他指使强盗攻击国王。那个懦夫就在我父亲羞愧自尽不久后，把我们从自己家赶了出来。从那以后，我就和忠于我的人住在一起，因为他们知道我的父亲才是真正的领袖。
str_vaegir_rebellion_pretender_story_2|更重要的是，那个小女王很丰满，而且和一个62岁的老头有个孩子……多年前，在毒害他妻子以剥夺前任继承人的合法权……就这样！我父亲就有了幼小的继承人，而不是那个成年的混账继承者。
str_khergit_rebellion_pretender_story_2|他们把我们从祖宗地盘给赶走了，多少年来我都是被迫看到这个国家在这里建立……我的父亲会为我感到羞耻。
str_nord_rebellion_pretender_story_2|那些天，国王70岁了，他知道他不可能再有孩子了，所以他让我的父亲成为了继承人。而很快，我父亲和我叔父就在海上发生意外，死在了汪洋大海。
str_rhodok_rebellion_pretender_story_2|只有大城镇会拒绝我们。他们说我们是灾星，因为我们不能保护他们，而且还尝试敲诈他们。但这些都是谎言，真正的窃贼就是那些所谓的雅尔和糟糕的国王。
str_sarranid_rebellion_pretender_story_2|在最近几年，王国遭到了篡权者的篡夺，我想人民终于会支持我争夺王位了。
str_swadian_rebellion_pretender_story_3|整个王国欠我父亲和为他而战的忠臣门太多了。我有足够的人马夺取首都并让另一个像你这样的勇士攻城略地。我们一起夺回霍里克国王欠我的所有东西吧。
str_vaegir_rebellion_pretender_story_3|这个王国不会坚持多少年了，雅尔们会自相残杀，他们需要强大的国王把他们统一起来联合对抗敌人！我需要你帮我夺回我的王位。我的父亲在不战到只剩一个儿子之前，是不会认同我的。我们要为了王国的未来战斗。
str_khergit_rebellion_pretender_story_3|然而，我再次在我的旗帜下集结了所有人，我有着比任何祖先都多的士兵，但我担心我需要一个更杰出的统帅，我的一些优秀指挥官已经死在前线了。我可以让你为我统领其中的一支部队，而如果我达到了目的，你就能自己统治一座城镇。
str_nord_rebellion_pretender_story_3|我确认我的表弟和这事有关系，这事情对他那么有利也实在是太巧合了。在那之后我一直保持安静以免被杀，但他已经回不了头，突然夺走了我的妻子，继而又突然消失。他的大部分手下都很尊敬他，但也有不少和我一样敢怒不敢言。如果有你的帮助，我会给我们王国重新带来和平繁荣的时光。
str_rhodok_rebellion_pretender_story_3|我们计划攻打那小偷的主要据点并结束他的恐怖统治，这片土地的人们只需要支付保护费，我不会容忍任何竞争，因为这是我的土地。加入我，我就会赏你能在里面游泳的黄金。你也会有自己的部队来收取保护费。
str_sarranid_rebellion_pretender_story_3|我只需要一个出色的指挥官来领导我的军队，最好还有更多优秀的士兵。我们会一起夺回家族的荣耀，而我们也会威名远扬。跟随我吧，召集你的战士，然后我们一起名留青史。我发誓你绝对不会后悔的。
str_swadian_rebellion_monarch_response_1|那兔崽子又在我的土地假冒自己是合法国王……我早就应该在之前把他父亲赶走了。如果我们当初没有带那些金子回来，或许会相安无事。如果我当初知道我的土地会被那么多土匪夷为平地，我绝对不会带走那么多士兵。
str_vaegir_rebellion_monarch_response_1|那臭小子永远不知道他在这个世界上的分量。他是个恶棍，除非他好好效忠他的主人，否则他永远没有任何合法权利。他是我儿子，但我绝对不会成为国王，即便是我的小儿子死了也绝不。
str_khergit_rebellion_monarch_response_1|谁？这人我没听说过。我的祖宗在很早的时候开始统治这个王国。在我们到之前这里没有任何东西。
str_nord_rebellion_monarch_response_1|我的表弟在之前是个优秀的骑士，后来他开始和那些父辈的朋友在一起，而现在他只信他们说的……就像我父亲一样。
str_rhodok_rebellion_monarch_response_1|他现在成为了一个土匪。这些年他敲诈勒索我的村庄。他假装自己是从“土匪”手中保护那些村庄……他们才是真土匪！
str_sarranid_rebellion_monarch_response_1|的确，我们现在处境艰难了点，但这里的人都知道这是因为我们的商人在遭受持续掠夺中破产了。现在我知道了他是在我的王国里，我可以肯定地确认他就是这些袭击的负责者。
str_swadian_rebellion_monarch_response_2|他可以尝试骚扰我们，但他的人都不够拿下我的一个村子，哈哈！我建议你无视他吧，他只是个讲大话的废物而已。
str_vaegir_rebellion_monarch_response_2|只有他立刻在我面前跪下，我才会原谅他的过错并让他离我的儿子远点。
str_khergit_rebellion_monarch_response_2|我不会容忍任何王位的冒牌货。如果他和他的人敢做任何非法的事情，我就让他牢底坐穿。这些是我的人民，而我会保护好他们。
str_nord_rebellion_monarch_response_2|我只好下令杀死他，我可不能一直让卫兵保护我免遭背后捅刀……他永远都不懂……意外随时发生……而且这事情也不能再发生到任何人身上。
str_rhodok_rebellion_monarch_response_2|他们将会尝到我的人民所受的痛苦，没有一个人能活下去。
str_sarranid_rebellion_monarch_response_2|在王国危机时保护我的子民是我的职责。我会抓住他并和他好好“谈谈”。这状况不能再持续下去了。
str_courtship_comment_conventional_generic|是非常有教养一类的
str_courtship_comment_adventurous_generic|似乎是足够正派的
str_courtship_comment_otherworldly_generic|是最文雅和殷勤的
str_courtship_comment_ambitious_generic|缺乏魄力——不过也许可以补救
