menu_start_game_0|欢迎来到维京征服世界（游戏版本V2.064）。
menu_discurso_9|你在队伍中前进，向士兵们演讲，你看着每一名士兵的眼睛，试着传达这个时刻非同寻常的意义：^^“来吧，男子汉们，让我们在战场上面对我们的敌人！只要有你们这样的人，在这些胆小鬼面前，我们的盾牌永远不会被打破！像古代的英雄，让我们去屠杀敌人，每个人都会成为英雄，每个人都是一个真正的男人！这一天，我们将让乌鸦饕餮大餐！”
mno_defendiendo_1_kd|好的演讲，后退。
menu_discurso_10|你在队伍中前进，向士兵们演讲，你看着每一名士兵的眼睛，试着传达这个时刻非同寻常的意义：^^“记住你们的孩子和妻子，记住你的家庭和你的祖先，记住你的神，记住一切，为了我们今天的战斗。我们来这里是为了建设一个更美好的世界！我们的对手不仅对此非常明了，而且害怕我们的决心。他们怕得直尿裤子，颤抖不止，根本无法抓住一根长矛。男子汉们！我与你们，与剑和盾牌，流血流汗，自豪地并肩作战，我们的命运在等待着我们。这是我们功成名就的时候了！”
mno_defendiendo_1_l|好的演讲，后退。
menu_discurso_11|你在队伍中前进，向士兵们演讲，你看着每一名士兵的眼睛，试着传达这个时刻非同寻常的意义：^^“让我们离开这个燃烧熊熊烈火的地方，转移到开阔的地方，站起来面对我们的敌人。死去的战士将与上帝同在。他是不死的，他的名字将成为荣耀。我将第一个冲锋，我做什么，你们就做什么。上帝为我作证，我永远不会离开你们，我的兄弟和骑士们！”。
mno_defendiendo_1_ll|后退。
menu_discurso_12|你在队伍中前进，向士兵们演讲，你看着每一名士兵的眼睛，试着传达这个时刻非同寻常的意义：^^“太阳将在今晚不再落下，为我们照亮敌人，而我们将如沐春风。可能你们在紧张发抖了，但他们不过是秋风中的瑟瑟落叶；我们咆哮的暴风雨将把他们粉碎在草地上，消失无踪。挥动你的长矛，像闪电一样击倒他们。这块土地是属于我们的——这些树林，这些山，这些田野——一季又一季，一年又一年，直到永远！”
mno_defendiendo_1_m|精彩的演讲，后退。
menu_doccinga_messenger|来了一个农民，赶着一匹肮脏的骡子。他在你面前停下，喘了口气然后大喊着说，^^“牛颈斯温正在前往道琴嘉，还带着三艘战船！索里克让我来警告你。{s4}不会来；他抛弃了我们！我会把消息传给其他的领主们，但他们都是丹麦人，不会真的为弗里斯人操心。我们需要您的帮助，救救我们的人民吧！”^^那个农民赶着骡子离开了。他的呼喊声“救救我们”仍然回荡在你的脑中……
mno_choice_01mess_1|继续
menu_doccinga_messenger2|一名信使飞奔而来，他在你面前停下，喘着粗气大喊着说：^^“索里克在道琴嘉正派人到处找你，{playername} 。他逮住了一名俘虏，那是在最近的战斗中听命于牛颈斯温的一个维京海盗。^他认为你会对审问俘虏很有兴趣，而且要求你尽快前往。在国王或者雅尔注意到此事之前，索里克不知道能关着这个俘虏多长时间。”
mno_choice_01mess2_1|告诉索里克，已收到消息。
menu_doccinga_c_assault|从道琴嘉附近的山坡上，你能看到村民们正在逃亡，而一些勇士和国王的士兵试图在海岸处建立一道盾墙，准备保护他们的财产，或者在最坏的情况下，掩护他们的家人撤离。^^远处海面上隐约有三艘维京战船，在这个距离上没法看清楚，但还是能够想象得到船上装满了维京战士。^^你不可抗拒地想起了之前牛颈斯温攻击你的船的情景。终于，维京大船又一次兵临城下。^^你注意到一个人从道琴嘉跑着离开了，他看起来像个士兵。他发现了你，正朝着你跑来……
mno_choice_01ass_1d|前往帮助道琴嘉，并且见见那个士兵。
mno_choice_doccinga|保存。
mno_encounter_save|我等会回来，道琴嘉还有时间。
menu_doccinga_c_assaultnoche|现在已经深夜，你的人也需要休息。明早再来。
mno_choice_01assault_3d|继续。
menu_noaccessallowed|在聚会上带太多人会让人们以为你要发起攻击而感到害怕。你现在必须把一些人留在营地。
mno_choice_01nall_3d|继续。
menu_doccinga_c_assault2|到达村庄时，你看到难民们正在排着长队逃离道琴嘉。他们带着所有的财产和拉车徒步离开，所以移动得很慢。如果你不去阻止维京人在海滩上登陆，所有的难民都会死在他们的剑下。
mno_choice_01ent_1e|迎战！
menu_doccinga_victory|血从你的手和肘部流下。你身边只有死亡，耳中充满死亡的呻吟。^^维京人被击败了，退回了大海，扔下了许多伤者和尸体，但是你们的代价也很惨重。^^牛颈斯温并不在场，这点很让你惊讶，这些明明就是他的船，但你的仇人上哪里去了？^^索里克的话在你的脑中浮现，也许是时候去拜访肯尼莫的雅尔了，他需要解释一些事情。
mno_choice_01vic_1|继续
menu_frisa_proscrito|肯尼莫的雅尔给你离开道琴嘉的时限结束了。现在你是弗里斯王国的一名罪犯。
mno_choice_01poc_1a|继续
menu_thiaderd_muerto|战斗很艰难，泰德的士兵如雄狮一样勇猛作战，但是你的人也设法解决他们了。^^泰德的尸体和他的战士们倒在一起。你该干的已经干完了；剩下的就是去掠夺泰德的营地，而营地就在前面。
mno_choice_01_1ath|继续
menu_thiaderd_battle|战斗无法避免。泰德看到了雷因哈德后勃然大怒，并下令攻击。
mno_choice_01_thiaderd|战斗！
mno_talk_to_thiaderd|和那些人交谈。
mno_kill_thiader_fam|杀光他们，烧毁营地并把所有值钱的东西抢走。
mno_loot_thiader_fam|洗劫营地，但是给营地里面的人一条生路。
mno_no_kill_thiader_f|我们不是杀人犯！让他们宁静地生活下去。
mno_choice_farmth|保存。
mno_encounter_savefarmth|离开。
menu_frisa_beach|海风迎面吹拂，你听到了海鸥在你头顶盘旋，同时盐分的气息越来越强。在远处，你发现了隐蔽的海滩里一艘船的轮廓。那就是索里克跟你提起的……属于你的船。
mno_enterbea|走下海滩。
mno_leavebea|再回来。
menu_sven_lair|沿着河畔，你发现了一处维京人的据点，那是斯温的藏身地！^那个港口对于船只来说显得狭小，易守难攻。在壁垒之后和房屋之中，你可以看见一些战士。你不可能在保持隐蔽的情况下数出他们的总数，但是你知道对方人多势众。^在城堡的中央，你可以看到有些待售的奴隶。你母亲是否会在他们中间呢？
mno_talk_to_fort_leader|请求与据点首领见面。
mno_enter_to_buy_prisoners|进入据点购买奴隶。
mno_initial_attack|发动奇袭。
mno_nosurprise_attack|全军出击！
mno_conquestsl_attack0|斯温的手下在盯着我的部队，我回头再来。
mno_conquestsl_attack|征服斯温的藏身地！
mno_choice_fort|保存。
mno_encounter_savefort|离开。
menu_sven_lair_comprado|你离开了牛颈斯温的藏身地。你决定用外交手段来达到目的，以避免手下伤亡。^^在你的队伍里，出现了一个新人，也是一个老朋友，他是坎塔布里亚人博多。就在斯温的藏身地外面，他请求和你一起离开，并告诉你在牛颈斯温袭击沃登里克号之后发生了什么。
mno_talk_to_bodo|和博多谈话。
menu_svenlair_victory|经过一场艰苦的战斗，你的手下终于击败了守卫藏身地的维京战士。在其中一个房子里，你找到了3个俘虏：2个女人和1个男人。你不认识女俘虏，她们也许是维京人从其他地方掠夺过来的；但这个男人正是博多，在沃登里克号上与你同行的一个坎塔布里亚人。^^博多加入了你的队伍，一个老朋友回来了。他请求和你一起离开，并告诉你在牛颈斯温袭击沃登里克号之后发生了什么。但是首先你要决定如何处理斯温的藏身地。
mno_take_itv|它是个不错的地方，我命令我的人帮我把它清理干净。
mno_destroy_itv|呸。我为了我的士兵掠夺并摧毁它。
menu_sven_lair_final|命运弄人。初时，一切都指向了你母亲不复生还的事实。生存和复仇的欲望驱使着你：找到牛颈斯温并杀死他。但是，现在你母亲还活着并且落在敌人的手里，你的首要任务是营救她。
mno_travel_sv|行动。
menu_svenlair_victory_conquista|经过一场艰苦的战斗，你的手下终于击败了守卫藏身地的维京战士。你要决定该如何处理这个据点。
mno_take_itsl|它是个不错的地方，我命令我的人帮我把它清理干净。
mno_destroy_itsl|呸。我为了我的士兵掠夺并摧毁它。
menu_farmstead_sigurd|一条灰尘漫布的小路通向一面大栅栏，在栅栏后面建有一些房屋。这里看上去很繁荣，是一个有钱人的家园。^在你的位置，可以看到一些人在活动。一切都看上去很平静。
mno_enter_to_farmstead|进入农场。
mno_encounter_savefarm|离开。
menu_farmstead_sigurd2|没过多久，你的哨兵发出警告，一队人马在接近。农场的气氛马上紧张起来，但是埃吉尔已经在山坡上待命，并告诉大家不要担心，因为这些人挂着国王的旗帜。^^霍里克国王派出了援军！
mno_talk_kingleader|和对方的首领交谈。
menu_farmstead_sigurd3|你发现，这个农场能够让人躲开危险和烦恼，是个舒服安稳的避世之地。那一刻你幻想自己成为了农场的主人，在田里耕种，使唤奴隶，日子一天比一天美好。{s2} 。看到自己坐在门边的长凳上，惬意地欣赏日出日落……这就是你想要的日子吗？或者对你来说这个目标太遥远了？无论如何，你在幻想宁静的生活前还需要考虑很多事情。^第二天，一个哨兵警告你一队武装人员在接近。他们人数众多，并且扛着“蛇眼”西格德的旗帜。你还没来得及下令，手下已经全副武装起来，并且跑到农场门口列起了盾墙。
mno_enter_to_battlefs|开始交换。
menu_farmstead_sigurd4|你仔细打量来人。对方人数可能超过六十，并且武装精良。一个头罩麻袋的囚犯被推到前面……
mno_choice_01_sigur|进入。
menu_hablar_olvir|经过一场残忍的战斗，乌尔夫的农场遍布尸首。你的手下在尸体中漫步，解决掉濒死的敌人并且拿走一切值钱的东西。你注意到埃吉尔正在切掉一个死者的手指来取下一枚金戒指，而伯伦希尔在用厌恶的目光扫视着战场，然后是雷因哈德坐在尸体上放声大笑，你却不知道自己是如何想的。有人说战争能改变一个人，好比贪得无厌的恶魔吞噬掉你的灵魂。你已经变了吗？你变得和以前不同了吗？^^当两名士兵把奥利维带到你面前的时候，你的思绪被打断了。他还活着，但是命不长了。血液从他的身侧不断涌出……没法停下。
mno_talk_to_olvir|和奥利维谈话。
menu_doccinga_prisonerjoined|在你的旅途中，有一个人来到你的部队面前，在几码的距离之外，他放下了自己的武器，并向你展示他手无寸铁。你几乎快认不出来他了。他就是你在道琴嘉审问的那个人，一个你饶了他命的人。
mno_talk_to_captain|听听他想说什么。
menu_entregar_bodo|你带着两个西格德的人去找博多，当你在对此解释时，他毫不抗拒。在西格德的手下把他带走前，他停在你面前，两眼满含泪水。伯伦希尔和雷因哈德似乎对你的选择很不满。
mno_talk_to_bodoentregado|和博多交谈。
menu_arboleda_conrey|你跟着国王去附近的一个小树林，远离了窥探的耳目。
mno_talk_to_reyhorik|和霍里克国王交谈。
menu_arboleda_conrey2|你跟着国王去附近的一个小树林，远离了窥探的耳目。
mno_talk_to_reyhorik2|和霍里克国王交谈
menu_meeting_ragnarssons|几个男人来到诺丁汉的大门见你。尽管这些人全副武装，但是他们对你没有威胁，反而看上去很高兴见到你。
mno_talk_to_siegemen|和他们交谈。
menu_primer_barco|你获得了你的第一条船。一条船不仅仅允许你能漂洋过海，还能让你通过海上贸易发家致富，或是掠夺沿海的村镇以威震一方，还可以远征敌国来成为一地之主。挪威人还说一条船甚至能够把你带到往生世界。^^然而，航行充满了危机，大海如同一口大开着的坟墓，随时准备吞噬你们。冬季的暴风雨会让船体受损，但是平静天气也好不了哪里去，因为无风的日子将迫使你的手下拼命划桨。为了防止水手疲劳过度，在夜幕降临时停留在陆地上休息是一个好习惯。^^船也是一笔宝贵的财富，它的主人必须时刻珍惜。^^如果你想出航离开的话，就回到这里……
mno_choice_01_1bar|继续。
mno_lugar_des|出发。
menu_banquete_moral_refuge|你命令士兵们卸下武器，然后邀请他们进入大厅，并且逐级而座，最亲密的人则坐在你最近。^女佣们以丰盛的菜肴和蜜酒款待着来宾。你为这场盛宴支付了一笔巨额的账单，不过你认为你的部下们应当享有这一切。^因为他们是与你同生共死、助你横扫千军的人，他们也是对你无比忠诚的追随者。^夜深了，许多人喝得烂醉如泥，有的又叫又唱，而一些人呕吐不止，其他人则为了吸引姑娘们的青睐而像斗鸡一样打闹。^在你背后，吟游诗人歌颂着你的丰功伟绩和英雄荣耀。你像领主一样行动，你也确实是个领主，一个“牧人”。
mno_banquete_okr|你边喝边大声笑，他们来了。
mno_banquete_ok2r|你保持清醒，酒虽好，但没有必要过量。
mno_banquete_ok3r|你向手下分发指环和手镯（2000先令）。
menu_player_lair_menus|{s10}这是属于你的据点，让你在逃离敌人后藏身于此，或者在运气不佳时等待东山再起，长途奔波后在这里歇脚，还能把你个人的财富藏在这儿。^^{s11}^^{s13}
mno_banquete_refugemead|为我的士兵举办一场盛宴。
mno_guarida_rename|重命名你的避难所。
mno_lair_interior|前往避难所大厅。
mno_lair_interior_door|前往避难所。
mno_visit_tavern_lair|前往蜜酒厅
mno_visit_tavern_lair_door|出门前往会议厅。
mno_lair_buildings_improve|和你的队长谈话。
mno_lair_buildings_improve_door|前往避难所。
mno_hirelair_staff|招募员工。
mno_lair_inspect|在你的避难所转转。
mno_lair_inspect_door|出门前往广场。
mno_mylair_station_troops|管理驻兵。
mno_demoler_lair|拆除你的避难所(500先令) 。
mno_lair_wait|在这里休息一会儿。
mno_see_ships|看看你的船。( 建造中)
mno_embarkre|上船。
mno_lair_leave|离开……
mno_lair_leave_door|离开此地。
menu_demoler_lairm|你确定你要拆除避难所吗？
mno_demoler_yes|是的(1000先令) 。
mno_demoler_no|返回。
menu_conversacion_companions1|在半路上停下休息的时候，伯伦希尔带领着伙伴们来到你面前，她有什么话要说。
mno_talk_to_brunhild|听听伯伦希尔想说什么。
menu_conversacion_companions2|在半路上停下休息的时候，你的伙伴们靠近过来，他们神情焦虑。
mno_talk_to_companions2|听听他们想说什么。
menu_conversacion_companionsbodo_choice|在半路上停下休息的时候，博多带领着伙伴们来到你面前，他有什么话要说。
mno_talk_to_bodochoice|听听博多想说什么。
menu_caio_entry|你的手下报告，有人来访。这是一个瘦高的男孩，他看上去很高兴，你确定他是老罗马人的儿子。
mno_talk_to_caio|继续。
menu_egil_conversacion|你的仆人告诉你，有一个男人来觐见你，那是一个身强力壮的男人，看起来充满自信，也没有携带武器。他大步向你走来，一直盯着你的眼睛。在他快要到你面前时，你的贴身侍卫用长矛拦住了他……
mno_talk_to_egil|继续。
menu_aghatinos_conversacion|在路边，一个男人坐在一块大岩石上。他又高又瘦，穿的衣服很糟糕，似乎人畜无害。他冷静地打量着过往行人，似乎在等着什么人，直到你走到他身边，他的眼睛牢牢盯住你，并起身向你走来……
mno_talk_to_aghatinos|和他谈谈。
menu_egil_rebelion|似乎有点不对劲。你听到尖叫，看见埃吉尔正走向你。
mno_talk_to_egilreb|听埃吉尔说。
menu_egil_rebelion2|埃吉尔倒在你的脚边，并将长眠不起，你的手下把他的尸体抬走埋葬。埃吉尔是你十分要好的朋友，也是你团队重要的一员，他的死沉重地压在你和你战士的心头。
mno_permitir1|亲手埋葬埃吉尔，并支付他的丧葬费。
mno_permitir2|让手下埋了埃吉尔。
mno_permitir3|不要让士兵埋葬埃吉尔。把尸体留给乌鸦！
menu_egil_duel|埃吉尔走向你，你们俩是很好的朋友，是你还是他……
mno_fight_egilrebdu|战斗。
mno_choice_01_1frankia|继续
menu_cueva_odin|大海的气味在这个区域无处不在，海浪拍击悬崖产生的声音如雷鸣般在你的脑海中回荡。在狭窄海滩的尽头，有一条小路，你辨别地上的足迹，猜测那是属于一个男人的。这条路很难走，你决定自己跟过去看看，所以你命令手下在这等待。
mno_enterod|靠近。
mno_enterod2|看起来像某人的窝，调查。
mno_choice_od|我需要招募更多的人。
mno_encounter_savefarmod|离开。
menu_orm_duel|你从农场走到一块空地上，此时乌尔夫的奴隶正在准备决斗的场地，他们用石头围成一个大圆圈。你慢步走到圈外，农场里的所有人和你的伙伴们都围在你的身边，给你加油鼓劲。奥姆正在热身，他显得很自信，好像对你不屑一顾。他也确实有这个资格，因为他的连胜纪录到目前为止都未曾被打破。你的同伴轻轻拍了拍你的背，告诉你一些关于决斗的技巧，所有人都在祝福你；除了雷因哈德，他悲伤的说他要帮你写墓志铭，并亲手刻在你的墓碑上……突然，埃吉尔指着奥姆叫你快看，你转头发现奥姆已经停止了热身，他的身体仿佛不受控制了，而且不停抽搐，口吐白沫。突然，他慢慢抬起了头，只见他布满血丝的眼中直勾勾的盯着你，口中不停地说着些莫名奇妙的话。就在你思考这一切是怎么回事的时候，奥姆像一条毒蛇一样飞速的向你扑来……
mno_duel_orm|进入战斗。
menu_orm_duel_win|黑人奥姆的尸体直挺挺地倒在你的脚边，你握剑的手臂被奥姆震得发麻。你的脑中不段的重复着刚才决斗的画面，心里疑惑他是如何用手臂挡住你锋利的剑锋的，难道他能对疼痛免疫？但毫无疑问你是幸运的，因为你刚刚打败了一个狂战士！
menu_viking_duel_win|决斗结束，你击败了{s1} 。吟游诗人们把你的壮举编成诗歌，四处传唱。
menu_viking_duel_lose|{s1}由于对手太过厉害，你已经被打败了。{s1}的连胜记录上将再增加一次，而诗人们也将继续传唱他的事迹，而你，仅仅是作为手下败将被人们偶尔谈起。
mno_duel_rebelion|接受挑战。
menu_duel_rebelion_enemyback|鉴于你的凶猛，你的对手拒绝与你进行决斗。他在你的手下们的嘘声中离开了。
menu_duel_rebelion_win|决斗结束了。你的敌人躺在地上，你用娴熟的武技和出众的武器打败了他。你也希望这能成为对其他潜在的竞争对手的警告。现在你的首要任务是恢复体力和提高部队的士气。
menu_thething_messenger|一名信使策马飞奔而来。他跑到你面前气喘咻咻道：^^我的国王，丹麦的霍里克国王，邀请您参加在里伯举行的议事会。大会将讨论你与牛颈斯温和西格德·拉格纳逊的争执，你必须尽快赶过去，否则议事会将取消你的资格。^^然后信使踢了下他坐骑的屁股，一溜烟离开了。
mno_choice_01_1thing|继续
menu_the_holmgang|一群全副武装的人接近你，他们由国王的得力助手哈罗德·哈罗德逊带领，他让你想起议事会的判决，是时候要登上短岛进行决斗了。他们监视着你的队伍，把你带到不远处的一个海滩，已经有一个憔悴的老头在那等着了。他们把你安排到小船上，哈罗德的两个手下将小船推进海中。你和老头都一言不发，他开始向着海平面上的一个小岛划去。
mno_choice_01_1duelhom|继续。
menu_the_holmgang2|水波潋滟，你能听到唯一的是木桨划水的声音，那是一种缓慢而沉稳的节奏。老头其实也并不老，但艰苦的生活和海上风吹日晒使他的皮肤沟壑横生，使他看起来像一个长者。他穿着一件破旧的盐漂白束腰外衣，手掌的皮肤如同皮革般粗糙。他的瞳仁是海蓝色的，清澈如水，连一秒钟也不看你。前方等待着的对手是一位曾经的朋友。议事会的判决很明确，二人去小岛，但只有一个能回来。船停在小海滩附近，你下船后，老人划着它往大海中走了几十米，然后在那里停下来等待。
mno_choice_01_2duelhom|决斗。
menu_the_holmgang3|“二人去，一人归。”^^你胜利了，但代价是杀死了一个老朋友。你还记得雷因哈德的一句口头禅：命运无常！^^你搭乘老人的船返回到在丹麦等待的战士身边。当你到达时，他们各自收拾行囊，但都沉默不语，因为大家都意识到这个时刻如何凝重。不久，他们准备好了。哈罗德和他的人已经离开。现在是时候前往里伯的蜜酒厅，寻找那个名叫阿斯比恩的议事会判官了。
mno_choice_01_3duelhom|长途旅行。
menu_the_thing|在古籍的记载中，当人们背负着巨石来祭祀死者或膜拜神灵时，他们就会来到议事会。慢慢接近时，你会听到了各种嘈杂声音，看到各种各样帐篷，嗅到商人们贩卖的食物气味。你现在有点明白议事会是什么东西了，这里不仅用于商议政事或作出判决，还是人们交换货物和信息的场所。
mno_enter_thing|进入。
mno_encounter_leavethething|离开。
menu_partida_ribe_fleet|最终，在你为这次长途旅程做好准备之后，加入了在里伯港口外的壮观的舰队，沿着鲸鱼游动的路线，离开了丹麦。
mno_choice_01_3dfl|参加探险队。
menu_partida_ribe_fleet2|目前，舰队被明显分成两支，它们有着各自的指挥官，一边是由西格德雅尔撑腰的牛颈斯温，一边是由霍里克国王支持的哈罗德·哈罗德逊。^^但现在不是担心的时候，迎着大海带来的自由气息，你的船正驶向英格兰——那个遍地是金，男儿名扬四海的地方。现在你比任何时候都更接近牛颈斯温。你只需等待一个机会，杀掉他然后救回你的母亲……命运总是眷顾有耐心的人。
mno_choice_02_3dfl|继续前往英格兰。
menu_sven_attack_fleet|在好天气的情况下，从里伯到约维克的航程一般需要三天，但因为航速较慢，所以可能要额外花上一两天。船只分散前进，但这是常态，航行的方向往往都由风向作主，船队最后会在目的地集合。^^这样的长途旅行需要由水手们按照日常的计划工作，不分昼夜，因为船只不能在海上停下。男人们拥挤在一起的气味，以及饮食都让你很难受，尤其是当你必须趴在船舷上喘息的时候。^^最后，哈罗德和斯温之间的分歧变得越来越大，各自忠于两边的船长都只会单独会面，而船队也在分开航行。哈罗德通知你和其他船长到他的船上召开紧急会议。很明显，一个忠于牛颈斯温的船长改投了哈罗德，并且带来了消息。^^你期待着会议上将有好消息，特别是关于你母亲的。
mno_choice_mettingcap|船长会议。
menu_playerflee_svenattack|当你逃离战场之际，身后充斥着伤者的哭喊，以及剑刃的激烈碰撞。当牛颈斯温的手下屠戮哈罗德·哈罗德逊的部队时，你只能抛下他们。当务之急是前往英格兰找到拉弗伯斯·拉格纳逊，将牛颈斯温背叛国王的行为告知他。
mno_choice_flee1|逃跑。
menu_way_to_douaranenez|你立即集合船队并命令水手解开舰绳，船长们命令水手扬帆划桨。舰队在晨风驱动下驶离港口，开进广阔的海域。
mno_choice_01_3ddouar|去当纳莱斯
menu_way_to_douaranenez2|与如此众多的男人挤在一条船上的日子里，没有隐私和安宁可言。空气中充满了汗水、尿液和皮脂的臭味，甚至盖过了海的咸味。^气候温和：没有雷暴，没有狂风，除了雾气的出现。实际上，由于缺乏风力，航速非常缓慢，让旅程更加漫长。^^终于，附近另一条船的斥候传来消息，当纳莱斯出现了。在村庄的港湾里，有超过40条船在等待，大部分已经待命战斗。其中一艘船离开舰队并且朝你驶来……
mno_choice_d1douar2|开始谈判。
menu_way_to_douaranenez3|你听到村子里有人在讨论阿斯图里亚斯的内部分歧，这里偶而发出剑声和叫喊声。^^不过现在这些都不重要，一艘坎塔布里亚的船只全速前进把你带回自己的船上。你远远望见，你的舰队正在准备应战敌人。甘迪索瓦陪伴着你，他很严肃，非常严肃，尽管他在会面中露出了丑态。他望向双方战船接舷作战的情况，神情狰狞，即使他是一名无畏死亡的资深战士。你的船马上要回归到舰队中，是时候准备指挥了……
mno_choice_douarbdouar3|加入战斗。
menu_way_to_douaranenez4|海面成为了烈火、血肉和死亡的地狱。你取胜了，但牺牲了无数战士，包括那个坎塔布里亚人，甘迪索瓦。^^这场海战是纯粹的疯狂，但你的敌人已经逃离，到当纳莱斯寻找避难之处，而你的士兵正在乘胜追击。那里正是你离开博多的地方，他曾尽其所能把阿斯图里亚斯和其他国家结成联盟。^^轮到你加入战斗了……
mno_choice_douard4|上岸。
menu_way_to_douaranenez5|当纳莱斯已经不复当初，现在只有烈火和死亡……这里的居民纷纷在折磨中惨死，你怀疑日后是否还有人敢在此处定居。^^你受伤的士兵遍地哀嚎，还有一些人依然被战争所震惊，麻木地呆望天际，无视你的存在。你想起了博多之死，还有你最后一次与他并肩作战的情景。他的失败是不可避免的命运。来自阿斯图里亚斯王国的舰队不复存在，只有一些失去了首领甘迪索瓦的坎塔布里亚残兵跟随你。你的一些士兵正在沉迷于终结苟延残喘的敌人，并抢光他们的财物。
mno_choice_douarb15|宣布占有这些战利品。
mno_choice_douarb26|让你的士兵分享战利品。
menu_bjorn_camp|丹麦人在一座山包上建立了一个小型据点，通过点算帐篷的数量，你估计这里驻扎着250至300人。其中一个行营飘扬着比约恩的旗帜，他是拉格纳最有名的子嗣之一。^^一些人拦住了你，当他们验明你的身份后，马上让你通行，好像他们早已知道你的来临。
mno_enter_bjorncamp|进入营地。
mno_enter_bjorncamp2|调查。
menu_nothingam_siege|在远处望下去，可以两个撒克逊和盎格鲁人的营地包围着诺丁汉。营地非常大，能容纳上千人，而且还有战士在周边巡逻，确保没有人进出。在这个距离，你可以分辨出沿着城墙巡逻的丹麦战士，他们肯定情况不妙，不仅没有人数优势，粮草也每天有减无增。
mno_mierce_patrols|穿过麦西亚的巡逻队，前往诺丁汉。
mno_choice_snott|保存。
menu_nothingam_siege2|你离开诺丁汉，回到森林……
mno_mierce_patrols2|穿过麦西亚的巡逻队，前往诺丁汉。
menu_nothingam_siege_al|当你接近诺丁汉时，撒克逊斥候们包围了你，但没有发起袭击，因为你带着一面使者的旗帜。^^最后，几名骑手出现了，他们下马走向你。
mno_talk_to_alfred|继续。
menu_ambush_kennemer|当你的队伍在路边休整时，你借此时间来解决一些私事，因为你的肚子感觉不舒服。^^但是当你躲在石头之间享受片刻的时候，一阵骚动从右边打断了你。
mno_relax_broken|赶紧穿好裤子，拿起你的武器。
menu_welsh_and_pictish_complete|这三十天来，你设法保住{s3} 。根据博多的信件，是时候回去看看有没有牛颈斯温的消息了。
menu_messeger_mothernews|一名送信者鞭策着肮脏的马停在你的面前叫喊着。^^“这个口信送给叫{playername}的人。如果你想知道母亲的消息，就去杜威克附近的野猪林，找找伐木工的屋子。”^^送信者转身策马离开。
mno_choice_01_newsm|继续。
menu_circle_mystic|你发现了一个特别的地方，这里看来曾被古人们修饰过。也许现在正是欣赏另一个时代的艺术的好时候。
mno_enter_quest|出发。
mno_enter_mystic|进入。
menu_troll_bridge|不远处的河上有一道桥，河流没有名字，但是这道桥的名字却广为人知，它就是巨魔桥。
mno_enter_troll|往桥走去。
menu_battle_stones|你看见一所环绕着卵石路的房子，这里看来是理想的居所，处处都是和平和宁静，每天只需要打理牲畜和庄稼……因此，这里看来也与你动荡不安的生活格格不入。
mno_enter_stones|进入。
menu_roman_fort|沿路前进，你看见了一些古罗马堡垒的遗迹，跟在不列颠其他地方发现的很相似。
mno_enter_romanfort|调查。
menu_farmland_menu|你到达了一座小农庄，炊烟袅袅升起，但你没有看见半个人影。
mno_enter_ambush|参观农庄。
menu_boar_grove|你到达树林的深处。{s4}
mno_enter_hut|接近小屋。
mno_enter_hut2|接近小屋。
menu_aescesdun_camp|撒克逊的军队在雷丁镇被打败后，他们撤到这里重新集结，并在山包上建立了一处营地，随着每天回营的士兵渐渐恢复。在丹麦人向西撒克逊进军的途中，这里是一个进行拦截的要地。^^这个地方叫做阿先顿。^^{s4}
mno_enter_aescendun|进入营地。
menu_aescesdun_empty|当大军开拔前往作战之后，营地几乎空无一人，只有寥寥几个守军。
menu_readingum_camp|在一个叫雷丁镇的撒克逊村庄，拉格纳的子嗣们已经建立了一处营地。这里易守难攻，还有一道护城河，撒克逊人和丹麦人作战的痕迹依然存在。这个地方是扼守四方的战略要地。^^{s4}
mno_enter_readingum|进入营地。
mno_the_speech|加入他们。
menu_thetravel_danisharmy_l|丹麦人的军队，伟大的夏军，已经抵达阿先顿。^^阿弗雷德国王将自己的军队一分为二：一支由他自己领导，另一支由他的兄弟，年轻的艾弗德领导，两支军队各自沿着古老的驿道前进。^^当维京人展开部署时，阿尔弗雷德决定要在战前进行祈祷，而且直到仪式完成之前拒绝动身。但丹麦人行动迅速，也兵分两路……
mno_choice_01_3ddarm|阿先顿战役。
menu_mega_battle_ashdown|撒克逊人占领了两座山的有利位置，一分为二。一支由阿尔弗雷德国王带领，另一支由艾弗德指挥。丹麦人动作非常迅速，没有停下休整或重组，这件事阿尔弗雷德并没有料到。他还在祈祷，而且下令在仪式完成前不准任何人打扰。丹麦人没有耐性等待，他们同样把自己的军队一分为二，一支由哈弗丹雅尔和巴萨克国王领导，迎战阿尔弗雷德。而另一支则由其余五名雅尔指挥，向艾弗德进军。他们开始占领高于撒克逊人的山地，一旦部署完成，他们将拥有高度的优势……^^{s2}你将有{reg10}名士兵迎战{reg11}名敌人。
mno_encounter_attackasc|阿先顿之战。
menu_svenbn_hunting|从战场上离开时，满目皆是被遗弃的武器，尸体，伤员，掠夺者，还有为垂死之人作最后祈祷的牧师，你的心头交织着快感和悲凉。除此以外，你一再询问自己：为什么？当那么多生命消逝的同时，我为什么还能活着？^^不过你的思索与你的命运正背道而驰。{s4}
mno_talk_to_leader|跟他谈谈。
